rightLowerArm_positionX,rightLowerArm_positionY,rightLowerArm_positionZ,rightLowerArm_rotation_x,rightLowerArm_rotation_y,rightLowerArm_rotation_z,rightLowerArm_rotation_w,rightHand_positionX,rightHand_positionY,rightHand_positionZ,rightHand_rotation_x,rightHand_rotation_y,rightHand_rotation_z,rightHand_rotation_w,rightThumbProximal_positionX,rightThumbProximal_positionY,rightThumbProximal_positionZ,rightThumbProximal_rotation_x,rightThumbProximal_rotation_y,rightThumbProximal_rotation_z,rightThumbProximal_rotation_w,rightThumbMedial_positionX,rightThumbMedial_positionY,rightThumbMedial_positionZ,rightThumbMedial_rotation_x,rightThumbMedial_rotation_y,rightThumbMedial_rotation_z,rightThumbMedial_rotation_w,rightThumbDistal_positionX,rightThumbDistal_positionY,rightThumbDistal_positionZ,rightThumbDistal_rotation_x,rightThumbDistal_rotation_y,rightThumbDistal_rotation_z,rightThumbDistal_rotation_w,rightThumbTip_positionX,rightThumbTip_positionY,rightThumbTip_positionZ,rightThumbTip_rotation_x,rightThumbTip_rotation_y,rightThumbTip_rotation_z,rightThumbTip_rotation_w,rightIndexProximal_positionX,rightIndexProximal_positionY,rightIndexProximal_positionZ,rightIndexProximal_rotation_x,rightIndexProximal_rotation_y,rightIndexProximal_rotation_z,rightIndexProximal_rotation_w,rightIndexMedial_positionX,rightIndexMedial_positionY,rightIndexMedial_positionZ,rightIndexMedial_rotation_x,rightIndexMedial_rotation_y,rightIndexMedial_rotation_z,rightIndexMedial_rotation_w,rightIndexDistal_positionX,rightIndexDistal_positionY,rightIndexDistal_positionZ,rightIndexDistal_rotation_x,rightIndexDistal_rotation_y,rightIndexDistal_rotation_z,rightIndexDistal_rotation_w,rightIndexTip_positionX,rightIndexTip_positionY,rightIndexTip_positionZ,rightIndexTip_rotation_x,rightIndexTip_rotation_y,rightIndexTip_rotation_z,rightIndexTip_rotation_w,rightMiddleProximal_positionX,rightMiddleProximal_positionY,rightMiddleProximal_positionZ,rightMiddleProximal_rotation_x,rightMiddleProximal_rotation_y,rightMiddleProximal_rotation_z,rightMiddleProximal_rotation_w,rightMiddleMedial_positionX,rightMiddleMedial_positionY,rightMiddleMedial_positionZ,rightMiddleMedial_rotation_x,rightMiddleMedial_rotation_y,rightMiddleMedial_rotation_z,rightMiddleMedial_rotation_w,rightMiddleDistal_positionX,rightMiddleDistal_positionY,rightMiddleDistal_positionZ,rightMiddleDistal_rotation_x,rightMiddleDistal_rotation_y,rightMiddleDistal_rotation_z,rightMiddleDistal_rotation_w,rightMiddleTip_positionX,rightMiddleTip_positionY,rightMiddleTip_positionZ,rightMiddleTip_rotation_x,rightMiddleTip_rotation_y,rightMiddleTip_rotation_z,rightMiddleTip_rotation_w,rightRingProximal_positionX,rightRingProximal_positionY,rightRingProximal_positionZ,rightRingProximal_rotation_x,rightRingProximal_rotation_y,rightRingProximal_rotation_z,rightRingProximal_rotation_w,rightRingMedial_positionX,rightRingMedial_positionY,rightRingMedial_positionZ,rightRingMedial_rotation_x,rightRingMedial_rotation_y,rightRingMedial_rotation_z,rightRingMedial_rotation_w,rightRingDistal_positionX,rightRingDistal_positionY,rightRingDistal_positionZ,rightRingDistal_rotation_x,rightRingDistal_rotation_y,rightRingDistal_rotation_z,rightRingDistal_rotation_w,rightRingTip_positionX,rightRingTip_positionY,rightRingTip_positionZ,rightRingTip_rotation_x,rightRingTip_rotation_y,rightRingTip_rotation_z,rightRingTip_rotation_w,rightLittleProximal_positionX,rightLittleProximal_positionY,rightLittleProximal_positionZ,rightLittleProximal_rotation_x,rightLittleProximal_rotation_y,rightLittleProximal_rotation_z,rightLittleProximal_rotation_w,rightLittleMedial_positionX,rightLittleMedial_positionY,rightLittleMedial_positionZ,rightLittleMedial_rotation_x,rightLittleMedial_rotation_y,rightLittleMedial_rotation_z,rightLittleMedial_rotation_w,rightLittleDistal_positionX,rightLittleDistal_positionY,rightLittleDistal_positionZ,rightLittleDistal_rotation_x,rightLittleDistal_rotation_y,rightLittleDistal_rotation_z,rightLittleDistal_rotation_w,rightLittleTip_positionX,rightLittleTip_positionY,rightLittleTip_positionZ,rightLittleTip_rotation_x,rightLittleTip_rotation_y,rightLittleTip_rotation_z,rightLittleTip_rotation_w,Gesture
0.2270373,1.14842832,0.05336166,0.6347049,0.00119607162,0.7481544,0.193425521,0.306509465,1.403807,-0.0149092078,0.5928192,-0.0962204,0.796131253,0.07404098,0.304385126,1.423212,0.0125437528,0.723420858,-0.529729,0.407206267,-0.173874691,0.328361362,1.43772888,0.03875167,0.776798546,-0.414888322,0.4460984,-0.159524113,0.342989117,1.455345,0.056750875,0.7712853,-0.400373876,0.4591698,-0.184345037,0.357905447,1.47568941,0.07844637,0.771284759,-0.400372624,0.459170759,-0.184347257,0.317242831,1.47880781,0.0177297927,0.7023592,-0.173103422,0.6859125,0.0790604055,0.332841545,1.51995862,0.02333779,0.6716279,-0.336793721,0.636939168,0.172611937,0.351190537,1.53943408,0.0287193023,0.644367337,-0.4147292,0.5891699,0.256260961,0.3735632,1.55346823,0.03295717,0.6443673,-0.414729,0.5891701,0.256261051,0.324207217,1.48006892,-0.004418102,0.6304876,-0.07266215,0.747071564,0.197710544,0.341834128,1.521572,-0.0108281365,0.5939951,-0.213850692,0.730623,0.260053635,0.360880852,1.54480124,-0.0107216509,0.5642139,-0.287606955,0.7048577,0.319563359,0.383398026,1.56311476,-0.009419215,0.564214,-0.2876067,0.704857767,0.31956318,0.3321632,1.47548521,-0.0256725065,0.5960338,0.0282589756,0.772002041,0.218992978,0.345114,1.51387739,-0.0386339761,0.559409142,-0.06306565,0.7663669,0.309461355,0.360062718,1.53583968,-0.045481015,0.5298707,-0.130548552,0.7577945,0.357689857,0.378237873,1.55480576,-0.05032137,0.529870749,-0.130548462,0.7577945,0.3576898,0.3379824,1.46515334,-0.0436758772,0.280995429,0.06622805,0.926237345,0.242363125,0.352155775,1.4952296,-0.05258749,0.236877635,0.0165003184,0.895466864,0.376505435,0.366575837,1.51072025,-0.0570867732,0.213030666,-0.03916018,0.894762337,0.3904936,0.382344335,1.5259707,-0.0592098422,0.213030666,-0.03916018,0.894762337,0.3904936,Close_Fist
0.226993009,1.14841437,0.0533464476,0.6348098,0.00223353039,0.7478639,0.194193751,0.3063877,1.40362668,-0.0156329945,0.5929448,-0.09592794,0.795946836,0.07538609,0.30431807,1.42309046,0.011782486,0.723487556,-0.5300354,0.407236069,-0.172589138,0.3283538,1.43761647,0.0379307047,0.7773281,-0.414772,0.4459184,-0.157741278,0.343037069,1.45527124,0.0558467358,0.771907449,-0.400353372,0.458907634,-0.182428688,0.358030647,1.47566354,0.0774438158,0.7719069,-0.40035212,0.4589086,-0.182430908,0.3172794,1.47867334,0.0168476868,0.7022741,-0.173924983,0.6856233,0.08050759,0.333014,1.51977825,0.0224116445,0.670760036,-0.339044929,0.6356508,0.176288381,0.351544917,1.53910065,0.027721148,0.6425428,-0.4179226,0.5868085,0.2610275,0.374104142,1.55286062,0.03186804,0.6425427,-0.417922378,0.5868087,0.261027575,0.324230075,1.47987747,-0.005307697,0.6303426,-0.07450308,0.7465032,0.199625909,0.342081755,1.52128649,-0.0117036775,0.5937404,-0.2145202,0.730048537,0.261692,0.361212,1.54444718,-0.0116296709,0.5640137,-0.287728846,0.704416037,0.320778519,0.38377133,1.56271148,-0.0103657357,0.564013839,-0.287728578,0.7044161,0.32077834,0.33216247,1.47523689,-0.0265585743,0.5953236,0.0271048825,0.7721584,0.220514163,0.345276266,1.51357758,-0.0395084172,0.5586072,-0.06322064,0.766251564,0.311158627,0.360296369,1.535481,-0.0463877469,0.5290766,-0.13036637,0.7577221,0.359082,0.3785158,1.55439627,-0.05126016,0.529076636,-0.130366281,0.7577221,0.359081954,0.337950021,1.46485829,-0.0445453525,0.280897081,0.06543994,0.9258284,0.244246513,0.352252334,1.49487865,-0.05343965,0.236604288,0.0152506921,0.8948924,0.378092349,0.366737485,1.51031911,-0.0579019263,0.212541372,-0.040640492,0.8940991,0.392124385,0.382571876,1.525508,-0.05997466,0.212541372,-0.040640492,0.8940991,0.392124385,Close_Fist
0.2268975,1.148408,0.0533641353,0.634729445,0.00341319852,0.7477878,0.194731236,0.30609262,1.40350115,-0.0162819475,0.592848361,-0.09549173,0.7959494,0.0766614,0.304057062,1.423029,0.0110905357,0.723747551,-0.5299899,0.4072829,-0.1715246,0.3281335,1.43758678,0.03718355,0.77768755,-0.414839536,0.445691049,-0.15642941,0.342864662,1.4552623,0.05503971,0.7723487,-0.40053007,0.458593547,-0.180957347,0.3579278,1.47568071,0.07656355,0.772348166,-0.400528818,0.4585945,-0.180959567,0.31710428,1.478603,0.0160302538,0.7020445,-0.174433216,0.6855308,0.0821831748,0.332968265,1.5196681,0.0215209629,0.6701654,-0.339327067,0.635475457,0.178624257,0.351577818,1.53893483,0.0267572775,0.641583443,-0.418334633,0.586487949,0.263437,0.374200851,1.55260885,0.0308406278,0.6415834,-0.418334424,0.5864881,0.2634371,0.324053347,1.4797473,-0.006128814,0.6297186,-0.07513105,0.7465028,0.201353639,0.342054278,1.52108467,-0.0125698522,0.59291476,-0.214365378,0.7300448,0.263694227,0.361256123,1.54418612,-0.0125610279,0.5630629,-0.287412077,0.7044943,0.322556674,0.383863479,1.5623945,-0.0113492077,0.563063,-0.2874118,0.704494357,0.3225565,0.331975281,1.47504735,-0.0273705386,0.5945723,0.0269286335,0.7723815,0.221777827,0.345186949,1.51334131,-0.0403591432,0.557340741,-0.0634487,0.766236842,0.3134119,0.360304117,1.53516591,-0.0472762175,0.5274373,-0.130969033,0.75762254,0.361476958,0.378624141,1.55398059,-0.0521609671,0.5274374,-0.130968943,0.75762254,0.3614769,0.337744176,1.46462011,-0.0453350954,0.280313134,0.06484976,0.925516844,0.246246621,0.352182716,1.49457824,-0.054219164,0.23609522,0.0146191809,0.894484162,0.379398763,0.36671856,1.50997674,-0.058661744,0.211998165,-0.04113986,0.893657148,0.3933715,0.382598132,1.52512074,-0.0607178621,0.211998165,-0.04113986,0.893657148,0.3933715,Close_Fist
0.226701528,1.14842081,0.0534542426,0.6343271,0.004701989,0.748142,0.194655359,0.305452853,1.40352464,-0.0166549832,0.5926342,-0.0942864,0.796174765,0.0774648562,0.3034071,1.42313278,0.0106592756,0.7242055,-0.529333353,0.407840252,-0.170290977,0.327496946,1.43777633,0.0366918743,0.7779021,-0.414437532,0.446050942,-0.155398622,0.342238575,1.45549,0.0545015335,0.772586644,-0.4000934,0.45896098,-0.1799733,0.357311249,1.47595537,0.07597411,0.7725861,-0.400092155,0.458961934,-0.179975525,0.316445,1.47872293,0.0154386954,0.701635957,-0.174239874,0.685826659,0.08360181,0.3323791,1.51977313,0.02083688,0.6691131,-0.34048,0.635131359,0.1815751,0.35111025,1.538939,0.0260092746,0.6397586,-0.420314878,0.5853665,0.2671906,0.373861969,1.55241764,0.0300267916,0.6397585,-0.42031467,0.585366666,0.2671907,0.323399872,1.47980309,-0.00672177225,0.6291548,-0.07530359,0.746523738,0.202967986,0.341517,1.52107871,-0.0132331122,0.5921244,-0.214537814,0.7301289,0.265093237,0.3607775,1.54413128,-0.0132528888,0.562148452,-0.2875619,0.704572856,0.323843837,0.383428633,1.56228638,-0.0120585291,0.5621486,-0.287561625,0.7045729,0.323843658,0.331328273,1.47504163,-0.0279474147,0.5935027,0.0267163031,0.7726782,0.2236266,0.34468025,1.51326644,-0.0409959145,0.5563228,-0.06469631,0.7667472,0.313716352,0.359853566,1.53507173,-0.047850512,0.526427567,-0.132191613,0.7580319,0.361644953,0.378215641,1.55386281,-0.0526681133,0.5264276,-0.132191524,0.7580319,0.3616449,0.3371035,1.4645623,-0.0458796024,0.278683,0.06314219,0.9257428,0.247686982,0.3516777,1.49448645,-0.05465585,0.235052079,0.013722511,0.89442724,0.380213559,0.3662539,1.50985932,-0.05905485,0.211220086,-0.0413197055,0.893577754,0.393951654,0.3821552,1.52498257,-0.06109594,0.211220086,-0.0413197055,0.893577754,0.393951654,Close_Fist
0.226667017,1.14841473,0.05345255,0.634218335,0.00531830965,0.7481361,0.1950164,0.305351317,1.40343738,-0.01702594,0.592644751,-0.0934864357,0.7962118,0.07797027,0.303307861,1.42309642,0.0102518313,0.724658847,-0.528962433,0.407937944,-0.169277,0.327425957,1.43779659,0.0362263173,0.77826786,-0.4138757,0.446164727,-0.154735982,0.342167139,1.45554936,0.0539973974,0.7729249,-0.399404675,0.45916447,-0.17953074,0.357224464,1.47606194,0.07543563,0.772924364,-0.399403423,0.459165424,-0.17953296,0.316338271,1.47869754,0.014924326,0.7015049,-0.1746627,0.685711,0.08475827,0.3323662,1.51971734,0.0202754382,0.668480635,-0.341627,0.6345033,0.183929816,0.351202756,1.53879356,0.0253962316,0.638550043,-0.42196548,0.5841649,0.270093322,0.374057233,1.55211437,0.02935643,0.63855,-0.421965271,0.5841651,0.2700934,0.3232887,1.47973692,-0.00723946467,0.6288751,-0.07568597,0.7462865,0.204557881,0.341529518,1.52094817,-0.0138123408,0.59168905,-0.213971332,0.729921937,0.267084837,0.3608483,1.54395163,-0.0139234932,0.5616049,-0.286778718,0.704505265,0.325622737,0.383536369,1.5620656,-0.0128101483,0.561605036,-0.28677845,0.7045053,0.325622559,0.331213742,1.47493684,-0.0284576453,0.593019962,0.02564331,0.7726735,0.22504501,0.3447141,1.51311231,-0.0414979756,0.5560434,-0.06540388,0.76672405,0.314122,0.359924674,1.53489864,-0.048330456,0.5263364,-0.132427111,0.75802803,0.361700177,0.3782949,1.55368423,-0.05313834,0.526336432,-0.132427022,0.75802803,0.361700118,0.336987078,1.46442485,-0.04637123,0.27778542,0.0620073751,0.9257475,0.248961359,0.351668179,1.49431527,-0.05508424,0.234395534,0.0126683451,0.8943178,0.380912185,0.3662807,1.50966632,-0.0594386645,0.210610822,-0.0421635471,0.8934131,0.394561023,0.382209867,1.52476525,-0.0614419,0.210610822,-0.0421635471,0.8934131,0.394561023,Close_Fist
0.226558164,1.148427,0.05351319,0.634303033,0.00571986847,0.74813205,0.194745228,0.304989159,1.40350568,-0.0170452967,0.5927379,-0.09345843,0.796079338,0.0786449,0.302978128,1.42318881,0.0102175232,0.724697053,-0.5292481,0.407852948,-0.168423444,0.3271415,1.43788791,0.0361505263,0.778353631,-0.413772821,0.446253836,-0.154322922,0.34189,1.45565307,0.05390312,0.7729503,-0.3991108,0.4594138,-0.179437369,0.356932759,1.47618341,0.0753345,0.772949755,-0.399109542,0.45941475,-0.179439589,0.316068619,1.47878,0.0148395728,0.7016354,-0.1757465,0.685124755,0.08616778,0.332247317,1.51974475,0.0201587547,0.667648852,-0.3445358,0.6326233,0.187957242,0.351294577,1.53863025,0.02520651,0.6365573,-0.4259557,0.5809294,0.2754592,0.374359965,1.55161345,0.0290637463,0.6365572,-0.4259555,0.5809296,0.2754593,0.323010474,1.47979426,-0.0073280707,0.6290003,-0.07669933,0.7455679,0.20640792,0.341422439,1.52092218,-0.0139454119,0.5914853,-0.21589683,0.7292312,0.267872453,0.360830456,1.54385066,-0.0140058026,0.5613047,-0.288662732,0.7036074,0.326416254,0.3835904,1.56187165,-0.0128505928,0.5613048,-0.288662463,0.70360744,0.326416075,0.330921233,1.47496891,-0.02854583,0.591972351,0.0237624235,0.7732752,0.225941449,0.3445891,1.51311791,-0.0414888225,0.5544908,-0.06705405,0.7667783,0.3163776,0.359940171,1.53481424,-0.0482935458,0.5244114,-0.134451374,0.7578706,0.364071,0.37844643,1.55347908,-0.053049814,0.52441144,-0.134451285,0.7578706,0.364070952,0.3366758,1.46443629,-0.0464534536,0.277330577,0.0609116256,0.9255271,0.2505531,0.351477385,1.49428117,-0.0551183,0.233976245,0.0112894978,0.8939851,0.3819927,0.366140425,1.5095979,-0.05942323,0.210091084,-0.043598488,0.892992735,0.395632416,0.3821168,1.524654,-0.0613716468,0.210091084,-0.043598488,0.892992735,0.395632416,Close_Fist
0.226462945,1.148445,0.053581588,0.6345746,0.0056831087,0.748049259,0.194177657,0.304662645,1.40364552,-0.01679182,0.5929008,-0.0937783048,0.795887351,0.07897841,0.302683115,1.42332566,0.0104754474,0.724823833,-0.5296395,0.407273442,-0.168049723,0.326892555,1.43800259,0.0363779962,0.778664768,-0.413916141,0.445700675,-0.153966278,0.3416693,1.45576727,0.0541076027,0.773265064,-0.399252,0.458882928,-0.179124519,0.356743574,1.47629762,0.07551685,0.7732645,-0.399250746,0.458883882,-0.179126754,0.3158265,1.47890413,0.0151007036,0.7018121,-0.177304611,0.6843713,0.0875131562,0.332180917,1.51979935,0.0204176214,0.6672903,-0.346689254,0.6313323,0.189605,0.351343423,1.53856969,0.02545897,0.6358334,-0.4282275,0.579133153,0.277384639,0.374502778,1.5513922,0.0292908344,0.6358333,-0.4282273,0.579133332,0.277384728,0.322758228,1.479916,-0.007070223,0.6288677,-0.07808036,0.7451911,0.2076512,0.3413257,1.52097762,-0.0136651807,0.59107,-0.217400134,0.7286821,0.26906547,0.3608251,1.54382849,-0.013702563,0.5607394,-0.2901697,0.702881157,0.327614576,0.38365984,1.56175327,-0.01252631,0.5607395,-0.290169418,0.7028812,0.3276144,0.330654,1.47508717,-0.0282927714,0.591872156,0.0213729758,0.7729852,0.227429762,0.344534725,1.51318789,-0.0411510542,0.555183649,-0.06745581,0.7664019,0.3159893,0.3598777,1.5348947,-0.0479404666,0.525819063,-0.133393243,0.7577124,0.3627568,0.378308058,1.5536257,-0.05273116,0.5258191,-0.133393154,0.7577124,0.362756729,0.336390018,1.4645524,-0.04620511,0.276703715,0.05902586,0.925438762,0.252019435,0.351322085,1.49436212,-0.05476656,0.233681485,0.009563885,0.893711865,0.3828583,0.366031677,1.50965178,-0.0590085052,0.209844932,-0.0450762622,0.89262563,0.39642483,0.382046,1.52467453,-0.06090252,0.209844932,-0.0450762622,0.89262563,0.39642483,Close_Fist
0.226486862,1.1484468,0.05357767,0.634639,0.00537031749,0.7480335,0.1940373,0.304736316,1.40367949,-0.0166242421,0.593091,-0.09377565,0.7957509,0.07892963,0.302767366,1.42335653,0.0106460806,0.724944055,-0.5297191,0.4070612,-0.167794079,0.326996863,1.43803358,0.0365298167,0.7787359,-0.414018422,0.445507467,-0.153891027,0.341783643,1.45579469,0.0542546436,0.7733229,-0.399320424,0.458727956,-0.17911914,0.356865,1.47632158,0.07566227,0.773322344,-0.399319172,0.4587289,-0.179121375,0.315907568,1.4789356,0.0152714187,0.701875031,-0.178230733,0.683969557,0.0882650241,0.332363129,1.51978993,0.0205909088,0.6671215,-0.347500175,0.6307263,0.190727919,0.351584375,1.53850615,0.02560956,0.6354682,-0.429048121,0.578350842,0.27858302,0.374788731,1.55125535,0.0294135716,0.6354681,-0.4290479,0.578351,0.2785831,0.3228291,1.47995067,-0.006902558,0.6286058,-0.0786694437,0.745196939,0.208200067,0.3414658,1.5209831,-0.01348396,0.590943933,-0.216226235,0.728697956,0.270242929,0.3609737,1.54382634,-0.0136122946,0.5607039,-0.288555622,0.7032,0.328415841,0.383794039,1.56177485,-0.0125220474,0.560704,-0.288555354,0.703200042,0.328415662,0.330715656,1.47512484,-0.028129233,0.591859758,0.0206648037,0.772914052,0.227769613,0.34465304,1.513215,-0.04095769,0.554949939,-0.0679524541,0.7660975,0.31703037,0.360048741,1.534882,-0.047755,0.525420845,-0.134018973,0.7573386,0.363883,0.378532141,1.55356026,-0.052546937,0.5254209,-0.134018883,0.7573386,0.363882929,0.336444527,1.4645927,-0.04604534,0.2766169,0.0581693538,0.925412953,0.2524088,0.3514176,1.49439585,-0.0545580275,0.233625874,0.00843225,0.893658,0.383045226,0.366144985,1.50968027,-0.0587571561,0.209719867,-0.0463333167,0.89249593,0.3966387,0.382176846,1.52469051,-0.0606017672,0.209719867,-0.0463333167,0.89249593,0.3966387,Close_Fist
0.226378143,1.1484611,0.053642422,0.634579659,0.00571139669,0.748176336,0.193670556,0.3043721,1.40377021,-0.0165659636,0.592875242,-0.09368873,0.79593116,0.0788360462,0.302383125,1.4234494,0.0107013751,0.7252694,-0.5294727,0.406725138,-0.167980954,0.326610625,1.43814158,0.03657835,0.7790145,-0.413688749,0.445222646,-0.154191077,0.341383934,1.45591319,0.05430387,0.773581,-0.398972958,0.458456248,-0.179473966,0.356446683,1.47645,0.07571502,0.7735805,-0.3989717,0.4584572,-0.1794762,0.315507382,1.47903216,0.0153287891,0.70137924,-0.1791171,0.684148431,0.08902202,0.332057625,1.51984644,0.0206616856,0.6665827,-0.347626537,0.6309919,0.191500843,0.351302624,1.53854179,0.0256672129,0.634920835,-0.429021627,0.578736,0.279070973,0.374514371,1.55127764,0.02947083,0.6349208,-0.429021418,0.5787362,0.279071063,0.3224411,1.48004663,-0.00684139738,0.6284351,-0.07891551,0.745123446,0.208884031,0.341135681,1.5210495,-0.0134425405,0.5910899,-0.21550481,0.728981,0.269735634,0.36060223,1.54392791,-0.0135831488,0.561244,-0.287127972,0.703855932,0.327337265,0.3833535,1.56196523,-0.0125154257,0.56124413,-0.2871277,0.703856,0.3273371,0.330340743,1.47522068,-0.0280631855,0.591404557,0.0199959017,0.7731245,0.228296041,0.3443513,1.51329267,-0.0408656821,0.5551254,-0.06769402,0.7664577,0.315905035,0.3596987,1.53500056,-0.0476412922,0.5261406,-0.132857338,0.757884443,0.362127364,0.378094137,1.55376351,-0.0524409972,0.52614063,-0.132857248,0.757884443,0.3621273,0.3360822,1.46468818,-0.04597507,0.276218951,0.0571099333,0.925562143,0.252539158,0.3510879,1.49449515,-0.0544164144,0.233076,0.0066222325,0.8937325,0.383241653,0.365842581,1.50977421,-0.0585384332,0.208960757,-0.048590295,0.8924352,0.396905452,0.3819031,1.52476561,-0.06028357,0.208960757,-0.048590295,0.8924352,0.396905452,Close_Fist
0.226231948,1.14847946,0.0537274778,0.6348556,0.00612176,0.7480546,0.193223581,0.3038836,1.40388131,-0.01652284,0.5927711,-0.09402516,0.7959592,0.07893332,0.301899463,1.42355072,0.0107518639,0.7254605,-0.5295631,0.406206518,-0.168124974,0.326141953,1.438232,0.0366210677,0.7791678,-0.4137454,0.444784254,-0.154529929,0.3409167,1.45599473,0.05435425,0.7737067,-0.399001777,0.4580567,-0.179888844,0.355976373,1.47652006,0.07577854,0.773706138,-0.399000525,0.458057642,-0.17989108,0.315054238,1.47912407,0.0154045,0.701642036,-0.179661423,0.683676,0.08948288,0.331666768,1.51991367,0.020732142,0.6664212,-0.3490917,0.6299117,0.192948461,0.3510005,1.538523,0.02571658,0.6342864,-0.430905372,0.577039242,0.281117529,0.374299437,1.55111074,0.0294794329,0.634286344,-0.430905163,0.5770394,0.281117618,0.3219937,1.48014355,-0.00676365,0.628336847,-0.07879661,0.745238245,0.208814964,0.340678275,1.52115071,-0.0133662177,0.5901681,-0.2172152,0.72838974,0.2719702,0.360281736,1.54391193,-0.0135039259,0.5594261,-0.290214449,0.7025025,0.33061862,0.3832112,1.56172025,-0.0124048823,0.559426248,-0.290214181,0.702502549,0.330618441,0.329895556,1.47532153,-0.0279855058,0.591519,0.0195908044,0.773054659,0.228271529,0.34392333,1.51339591,-0.040762227,0.5547175,-0.06889936,0.7661526,0.317098439,0.35935083,1.53505337,-0.047517553,0.525274932,-0.134776592,0.757345438,0.36379832,0.377851158,1.553724,-0.0522735752,0.525275,-0.1347765,0.757345438,0.363798261,0.335635215,1.46479285,-0.04590024,0.275712252,0.0554468632,0.925593853,0.2533464,0.3507265,1.49458468,-0.0542422459,0.232824624,0.004986273,0.8936242,0.3836714,0.36551255,1.50985026,-0.0583011322,0.208732143,-0.0501067638,0.892232239,0.39729327,0.381598234,1.52482152,-0.059986636,0.208732143,-0.0501067638,0.892232239,0.39729327,Close_Fist
