rightLowerArm_positionX,rightLowerArm_positionY,rightLowerArm_positionZ,rightLowerArm_rotation_x,rightLowerArm_rotation_y,rightLowerArm_rotation_z,rightLowerArm_rotation_w,rightHand_positionX,rightHand_positionY,rightHand_positionZ,rightHand_rotation_x,rightHand_rotation_y,rightHand_rotation_z,rightHand_rotation_w,rightThumbProximal_positionX,rightThumbProximal_positionY,rightThumbProximal_positionZ,rightThumbProximal_rotation_x,rightThumbProximal_rotation_y,rightThumbProximal_rotation_z,rightThumbProximal_rotation_w,rightThumbMedial_positionX,rightThumbMedial_positionY,rightThumbMedial_positionZ,rightThumbMedial_rotation_x,rightThumbMedial_rotation_y,rightThumbMedial_rotation_z,rightThumbMedial_rotation_w,rightThumbDistal_positionX,rightThumbDistal_positionY,rightThumbDistal_positionZ,rightThumbDistal_rotation_x,rightThumbDistal_rotation_y,rightThumbDistal_rotation_z,rightThumbDistal_rotation_w,rightThumbTip_positionX,rightThumbTip_positionY,rightThumbTip_positionZ,rightThumbTip_rotation_x,rightThumbTip_rotation_y,rightThumbTip_rotation_z,rightThumbTip_rotation_w,rightIndexProximal_positionX,rightIndexProximal_positionY,rightIndexProximal_positionZ,rightIndexProximal_rotation_x,rightIndexProximal_rotation_y,rightIndexProximal_rotation_z,rightIndexProximal_rotation_w,rightIndexMedial_positionX,rightIndexMedial_positionY,rightIndexMedial_positionZ,rightIndexMedial_rotation_x,rightIndexMedial_rotation_y,rightIndexMedial_rotation_z,rightIndexMedial_rotation_w,rightIndexDistal_positionX,rightIndexDistal_positionY,rightIndexDistal_positionZ,rightIndexDistal_rotation_x,rightIndexDistal_rotation_y,rightIndexDistal_rotation_z,rightIndexDistal_rotation_w,rightIndexTip_positionX,rightIndexTip_positionY,rightIndexTip_positionZ,rightIndexTip_rotation_x,rightIndexTip_rotation_y,rightIndexTip_rotation_z,rightIndexTip_rotation_w,rightMiddleProximal_positionX,rightMiddleProximal_positionY,rightMiddleProximal_positionZ,rightMiddleProximal_rotation_x,rightMiddleProximal_rotation_y,rightMiddleProximal_rotation_z,rightMiddleProximal_rotation_w,rightMiddleMedial_positionX,rightMiddleMedial_positionY,rightMiddleMedial_positionZ,rightMiddleMedial_rotation_x,rightMiddleMedial_rotation_y,rightMiddleMedial_rotation_z,rightMiddleMedial_rotation_w,rightMiddleDistal_positionX,rightMiddleDistal_positionY,rightMiddleDistal_positionZ,rightMiddleDistal_rotation_x,rightMiddleDistal_rotation_y,rightMiddleDistal_rotation_z,rightMiddleDistal_rotation_w,rightMiddleTip_positionX,rightMiddleTip_positionY,rightMiddleTip_positionZ,rightMiddleTip_rotation_x,rightMiddleTip_rotation_y,rightMiddleTip_rotation_z,rightMiddleTip_rotation_w,rightRingProximal_positionX,rightRingProximal_positionY,rightRingProximal_positionZ,rightRingProximal_rotation_x,rightRingProximal_rotation_y,rightRingProximal_rotation_z,rightRingProximal_rotation_w,rightRingMedial_positionX,rightRingMedial_positionY,rightRingMedial_positionZ,rightRingMedial_rotation_x,rightRingMedial_rotation_y,rightRingMedial_rotation_z,rightRingMedial_rotation_w,rightRingDistal_positionX,rightRingDistal_positionY,rightRingDistal_positionZ,rightRingDistal_rotation_x,rightRingDistal_rotation_y,rightRingDistal_rotation_z,rightRingDistal_rotation_w,rightRingTip_positionX,rightRingTip_positionY,rightRingTip_positionZ,rightRingTip_rotation_x,rightRingTip_rotation_y,rightRingTip_rotation_z,rightRingTip_rotation_w,rightLittleProximal_positionX,rightLittleProximal_positionY,rightLittleProximal_positionZ,rightLittleProximal_rotation_x,rightLittleProximal_rotation_y,rightLittleProximal_rotation_z,rightLittleProximal_rotation_w,rightLittleMedial_positionX,rightLittleMedial_positionY,rightLittleMedial_positionZ,rightLittleMedial_rotation_x,rightLittleMedial_rotation_y,rightLittleMedial_rotation_z,rightLittleMedial_rotation_w,rightLittleDistal_positionX,rightLittleDistal_positionY,rightLittleDistal_positionZ,rightLittleDistal_rotation_x,rightLittleDistal_rotation_y,rightLittleDistal_rotation_z,rightLittleDistal_rotation_w,rightLittleTip_positionX,rightLittleTip_positionY,rightLittleTip_positionZ,rightLittleTip_rotation_x,rightLittleTip_rotation_y,rightLittleTip_rotation_z,rightLittleTip_rotation_w,Gesture
0.267565131,1.13732433,-0.0110124424,0.462864667,-0.2732851,0.6212088,0.570238054,0.5329616,1.19261038,-0.0630043745,0.661463439,-0.220014647,0.4861247,0.527013063,0.561169267,1.20467591,-0.049094528,0.499200433,-0.8037625,0.121353656,0.300063044,0.594756961,1.1865586,-0.05310466,0.606077552,-0.716382563,0.0395503528,0.3433687,0.620839357,1.17892182,-0.0635766461,0.595435,-0.717250049,0.01790487,0.361509562,0.6496904,1.169264,-0.07704619,0.5954359,-0.717250049,0.0179068111,0.3615078,0.6078364,1.224924,-0.07546294,0.345991135,-0.5037094,0.142922983,0.77854985,0.6331731,1.19299448,-0.09297618,-0.0806492344,-0.5193936,-0.112220809,0.8432869,0.6257208,1.16674328,-0.0924455151,-0.35687238,-0.4523766,-0.278780669,0.768296361,0.6056265,1.15096557,-0.0845247656,-0.356872171,-0.452376485,-0.2787808,0.7682965,0.5989607,1.22027063,-0.0964436457,0.387893826,-0.295241863,0.245727926,0.8378474,0.6281461,1.19393194,-0.119438931,-0.166611969,-0.4182297,0.05302023,0.89135474,0.6267991,1.16572881,-0.109184392,-0.5078827,-0.404736549,-0.117964193,0.751217663,0.6097056,1.15247166,-0.08978933,-0.5078824,-0.404736638,-0.117964074,0.751217842,0.587056637,1.21151686,-0.114268437,0.40342924,-0.160455048,0.328237981,0.8389034,0.61599195,1.19199061,-0.138582081,-0.0836150646,-0.266145855,0.1737955,0.944442,0.62377733,1.16659641,-0.131711155,-0.410737365,-0.310290933,0.06897823,0.8545508,0.62011826,1.14915168,-0.1118172,-0.410737276,-0.310290933,0.0689782649,0.854550838,0.572163165,1.20126736,-0.12601012,0.08266378,0.18160066,0.4168315,0.886814058,0.5965781,1.17927718,-0.136268228,-0.209718585,0.103668526,0.327822745,0.915316,0.610503435,1.164194,-0.129432738,-0.378879845,0.0398629569,0.3415053,0.85920614,0.6241029,1.15362227,-0.115684174,-0.378879845,0.0398629569,0.3415053,0.85920614,Pinch
0.267400026,1.13724685,-0.0111526512,0.461142331,-0.2725467,0.6210916,0.572111249,0.5329541,1.191574,-0.0633501,0.663279057,-0.220971316,0.485687643,0.5247287,0.5611508,1.20359147,-0.0493766032,0.501391649,-0.8035942,0.118516982,0.297987342,0.594782948,1.18559027,-0.0535338372,0.60602206,-0.7175888,0.0373026878,0.341192454,0.6208559,1.17793953,-0.06401906,0.595241368,-0.7183966,0.0152143892,0.359670252,0.6496765,1.16826034,-0.07753835,0.595242262,-0.7183966,0.0152163329,0.3596685,0.60778296,1.22405934,-0.07563707,0.350347638,-0.5056324,0.14049004,0.7757932,0.6331717,1.19233775,-0.09345033,-0.0818242058,-0.523287952,-0.114944927,0.840394258,0.6255614,1.16613078,-0.09298016,-0.35955,-0.4542024,-0.284152716,0.763990462,0.6052119,1.15061748,-0.08518993,-0.3595498,-0.4542023,-0.284152836,0.7639906,0.598906159,1.21952164,-0.09664269,0.3906224,-0.294105321,0.2450871,0.837166846,0.62806046,1.19334781,-0.119864605,-0.165545076,-0.42058146,0.05455937,0.8903536,0.626796,1.16513336,-0.109630771,-0.50717485,-0.40740183,-0.1178526,0.7502722,0.609652,1.15183294,-0.0903101,-0.507174551,-0.407401919,-0.117852472,0.7502724,0.5870075,1.21086073,-0.1145163,0.406649143,-0.159463644,0.327684939,0.8377531,0.6158809,1.19152558,-0.139055163,-0.08318002,-0.268919259,0.1753809,0.943401,0.62373215,1.16615772,-0.132161692,-0.411804974,-0.313594133,0.0688093156,0.852843,0.6199687,1.14875865,-0.112247229,-0.411804885,-0.313594133,0.06880936,0.852843046,0.572123349,1.20066321,-0.126315,0.08546081,0.180611849,0.41800943,0.8861963,0.596563339,1.17877316,-0.1367265,-0.207520589,0.102711268,0.3284875,0.9156865,0.6105018,1.16366923,-0.129964113,-0.37716046,0.0386506,0.3419938,0.8598235,0.6241059,1.153055,-0.116252989,-0.37716046,0.0386506,0.3419938,0.8598235,Pinch
0.267358541,1.13722873,-0.01118065,0.462804377,-0.274065882,0.6195467,0.5717185,0.5329286,1.19134545,-0.06351557,0.6656861,-0.222147346,0.485132068,0.521689236,0.5611098,1.20330441,-0.0494608432,0.503545046,-0.8035442,0.1153998,0.295705765,0.594781339,1.18541324,-0.05377184,0.6076752,-0.717386365,0.0341424346,0.339001715,0.6208491,1.17786622,-0.06434487,0.596766949,-0.7181035,0.0116720432,0.3578554,0.6496448,1.1683017,-0.07799817,0.596767843,-0.7181035,0.011673986,0.357853621,0.607690334,1.22406769,-0.07558069,0.354302526,-0.505984545,0.138849631,0.7740607,0.6331333,1.1925528,-0.09368097,-0.0798808858,-0.523541868,-0.117038094,0.8401341,0.6254831,1.16635525,-0.0933625,-0.3587462,-0.453320444,-0.286870241,0.763876557,0.6050607,1.150894,-0.08565981,-0.358746,-0.453320324,-0.28687036,0.7638767,0.598811448,1.21968043,-0.09661734,0.39400208,-0.293766171,0.244784191,0.8357897,0.6279903,1.19373465,-0.12006323,-0.162497431,-0.421081662,0.054641705,0.890673459,0.626803458,1.16546059,-0.109985575,-0.50474596,-0.407855958,-0.118105888,0.7516223,0.609683335,1.15202081,-0.0907403156,-0.504745662,-0.407856047,-0.118105762,0.7516225,0.58692,1.21113932,-0.114553392,0.410136819,-0.160116747,0.3282154,0.8357183,0.615844548,1.19207609,-0.139244393,-0.08104076,-0.269175828,0.174588129,0.943661,0.6236877,1.16667378,-0.132469743,-0.411048025,-0.313644826,0.06755394,0.8532896,0.619880259,1.14923227,-0.1126008,-0.411047935,-0.313644826,0.06755398,0.853289664,0.572049,1.20100808,-0.12642546,0.0888657048,0.179281443,0.419554055,0.8854012,0.5965261,1.179248,-0.137020618,-0.20436,0.101412058,0.3296454,0.916125834,0.610491157,1.16412067,-0.1303662,-0.37435928,0.037068367,0.3428942,0.8607581,0.6241126,1.15344083,-0.116723448,-0.37435928,0.037068367,0.3428942,0.8607581,Pinch
0.267355353,1.1372273,-0.0111825243,0.463565469,-0.2747588,0.618955731,0.5714094,0.5329257,1.19132924,-0.0635312,0.666427255,-0.222562909,0.484923035,0.5207594,0.5611036,1.20326591,-0.0494507626,0.503987551,-0.8035987,0.114448369,0.295172751,0.5947783,1.18539214,-0.0538093746,0.6086571,-0.7169505,0.0333166,0.3382436,0.620853841,1.17791152,-0.06441027,0.597835839,-0.71764,0.0109884907,0.35702157,0.6496653,1.16843092,-0.07808886,0.597836733,-0.71764,0.0109904325,0.357019782,0.607670546,1.224116,-0.07552546,0.3552403,-0.505833447,0.138459578,0.773799539,0.633120835,1.19265044,-0.09370129,-0.07872519,-0.5231025,-0.117347211,0.8404734,0.6254892,1.16644681,-0.09344038,-0.3576924,-0.4528327,-0.2869654,0.7646237,0.6050863,1.15094817,-0.08576128,-0.357692182,-0.45283258,-0.286965519,0.7646238,0.5987905,1.21977735,-0.09657172,0.3949535,-0.293743968,0.244682536,0.835378051,0.627977133,1.19389534,-0.120078444,-0.16131936,-0.421047539,0.05462145,0.8909051,0.6268201,1.16559827,-0.110062212,-0.5036612,-0.407831877,-0.118058011,0.752370358,0.6097233,1.15209436,-0.09084114,-0.5036609,-0.407831967,-0.118057884,0.752370536,0.5869003,1.21127582,-0.114527345,0.4108745,-0.160590023,0.3282436,0.835254,0.615840435,1.19226575,-0.139240965,-0.07958029,-0.269325376,0.174476475,0.9437633,0.623699665,1.16684842,-0.1325417,-0.409365475,-0.313717,0.0675263852,0.854073942,0.619920433,1.149333,-0.112732515,-0.4093654,-0.313717,0.06752643,0.854074,0.572032154,1.2011677,-0.126422539,0.09003122,0.178856552,0.419994652,0.8851605,0.5965173,1.17944741,-0.1370804,-0.203435838,0.1009937,0.329924941,0.9162771,0.610487938,1.16431177,-0.130456552,-0.373639137,0.0365414135,0.343096077,0.8610131,0.624111056,1.15361428,-0.116829276,-0.373639137,0.0365414135,0.343096077,0.8610131,Pinch
0.267355353,1.1372273,-0.0111825243,0.463565469,-0.2747588,0.618955731,0.5714094,0.5329257,1.19132924,-0.0635312,0.666427255,-0.222562909,0.484923035,0.5207594,0.5611036,1.20326591,-0.0494507626,0.503987551,-0.8035987,0.114448369,0.295172751,0.5947783,1.18539214,-0.0538093746,0.6086571,-0.7169505,0.0333166,0.3382436,0.620853841,1.17791152,-0.06441027,0.597835839,-0.71764,0.0109884907,0.35702157,0.6496653,1.16843092,-0.07808886,0.597836733,-0.71764,0.0109904325,0.357019782,0.607670546,1.224116,-0.07552546,0.3552403,-0.505833447,0.138459578,0.773799539,0.633120835,1.19265044,-0.09370129,-0.07872519,-0.5231025,-0.117347211,0.8404734,0.6254892,1.16644681,-0.09344038,-0.3576924,-0.4528327,-0.2869654,0.7646237,0.6050863,1.15094817,-0.08576128,-0.357692182,-0.45283258,-0.286965519,0.7646238,0.5987905,1.21977735,-0.09657172,0.3949535,-0.293743968,0.244682536,0.835378051,0.627977133,1.19389534,-0.120078444,-0.16131936,-0.421047539,0.05462145,0.8909051,0.6268201,1.16559827,-0.110062212,-0.5036612,-0.407831877,-0.118058011,0.752370358,0.6097233,1.15209436,-0.09084114,-0.5036609,-0.407831967,-0.118057884,0.752370536,0.5869003,1.21127582,-0.114527345,0.4108745,-0.160590023,0.3282436,0.835254,0.615840435,1.19226575,-0.139240965,-0.07958029,-0.269325376,0.174476475,0.9437633,0.623699665,1.16684842,-0.1325417,-0.409365475,-0.313717,0.0675263852,0.854073942,0.619920433,1.149333,-0.112732515,-0.4093654,-0.313717,0.06752643,0.854074,0.572032154,1.2011677,-0.126422539,0.09003122,0.178856552,0.419994652,0.8851605,0.5965173,1.17944741,-0.1370804,-0.203435838,0.1009937,0.329924941,0.9162771,0.610487938,1.16431177,-0.130456552,-0.373639137,0.0365414135,0.343096077,0.8610131,0.624111056,1.15361428,-0.116829276,-0.373639137,0.0365414135,0.343096077,0.8610131,Pinch
0.267314732,1.13721132,-0.0111999139,0.465094477,-0.275841862,0.6175679,0.5711467,0.5328678,1.19114971,-0.06380474,0.666048944,-0.222407192,0.484674454,0.521541,0.561063945,1.20307958,-0.04975529,0.502629936,-0.803384364,0.115437977,0.2976757,0.5946912,1.18511844,-0.0541205667,0.6098145,-0.7156665,0.03620832,0.338581026,0.6208272,1.17773163,-0.0646382,0.599922061,-0.7164075,0.0158068649,0.355815053,0.649802268,1.16842592,-0.07808937,0.599922955,-0.7164075,0.0158088021,0.355813265,0.607638955,1.22384572,-0.07588281,0.353823125,-0.506036341,0.13813962,0.774373233,0.633017063,1.19228315,-0.09399122,-0.07738925,-0.523934543,-0.115478188,0.840338349,0.625506639,1.16604435,-0.0937440544,-0.3544898,-0.45495373,-0.2843585,0.765829444,0.605229437,1.150344,-0.0861422,-0.3544896,-0.4549536,-0.284358621,0.765829563,0.5987447,1.21948469,-0.09691844,0.393306822,-0.294319361,0.245079786,0.835836053,0.6279483,1.19350219,-0.120292805,-0.159487158,-0.4184196,0.0543326475,0.8924893,0.626852453,1.16516793,-0.110375345,-0.500833,-0.405582666,-0.116317175,0.7557377,0.609941542,1.15147519,-0.09112346,-0.5008327,-0.405582756,-0.116317056,0.7557379,0.5868376,1.21096838,-0.114855841,0.407195956,-0.16176939,0.329211324,0.836446047,0.6158705,1.19175637,-0.139303088,-0.07859609,-0.266148567,0.173383251,0.9449477,0.6237126,1.1663096,-0.132696062,-0.405883044,-0.310121536,0.06871256,0.856949568,0.620134354,1.14865112,-0.112976737,-0.405882955,-0.310121536,0.0687126,0.8569496,0.571953952,1.20085716,-0.126729071,0.09002752,0.179336607,0.419532269,0.885283,0.5964116,1.17911,-0.137395635,-0.205427,0.101295136,0.3289546,0.9161485,0.610353231,1.16398191,-0.130694032,-0.376611441,0.0366071165,0.342245162,0.8600535,0.623935461,1.15335691,-0.1169695,-0.376611441,0.0366071165,0.342245162,0.8600535,Pinch
0.267373443,1.13723826,-0.01115365,0.465949833,-0.27642867,0.617401,0.5703456,0.532882,1.19150257,-0.06364749,0.666034,-0.2223989,0.48462078,0.521613359,0.561081,1.20343029,-0.0496019572,0.5026561,-0.803434551,0.115309767,0.297545463,0.5947077,1.18546891,-0.05397027,0.6097615,-0.7157685,0.03606657,0.3384759,0.6208421,1.1780777,-0.06448881,0.599852145,-0.716506362,0.0156222256,0.355742,0.649813354,1.168766,-0.0779441148,0.599853039,-0.716506362,0.0156241627,0.355740219,0.607655942,1.22418833,-0.07573602,0.353744417,-0.5063308,0.137897521,0.7742599,0.6330218,1.19261491,-0.09384274,-0.07697929,-0.5248563,-0.114825636,0.83989,0.625551939,1.16636443,-0.09360337,-0.353456885,-0.456224859,-0.283756942,0.7657737,0.6053013,1.15060675,-0.08604954,-0.353456676,-0.45622474,-0.283757061,0.765773833,0.5987591,1.21982622,-0.09677035,0.3931099,-0.2946839,0.245075017,0.8358014,0.6279693,1.19382942,-0.120120473,-0.159031391,-0.4182499,0.0541383661,0.8926618,0.6268767,1.16548514,-0.110231236,-0.5001599,-0.405399531,-0.116254814,0.7562911,0.609985948,1.15175247,-0.0909901261,-0.5001596,-0.405399621,-0.116254695,0.7562913,0.586849153,1.21130967,-0.114705771,0.407177866,-0.161678359,0.329225719,0.83646667,0.615880251,1.19209719,-0.1391548,-0.07871769,-0.265967369,0.173332855,0.944997668,0.6237192,1.16665053,-0.132543713,-0.4060679,-0.3099385,0.06870977,0.8569282,0.6201417,1.149,-0.112817109,-0.406067818,-0.3099385,0.0687098056,0.8569283,0.571963131,1.20119917,-0.126576573,0.08989951,0.179357067,0.419341117,0.885382354,0.596413434,1.17943943,-0.137234181,-0.205708116,0.101285,0.328819364,0.9161351,0.610350668,1.16431248,-0.1305208,-0.376978874,0.0365855955,0.342114478,0.8599454,0.6239265,1.15369582,-0.116783604,-0.376978874,0.0365855955,0.342114478,0.8599454,Pinch
0.267379224,1.13723958,-0.0111565739,0.4667015,-0.2773437,0.61683327,0.5699011,0.5329081,1.191504,-0.0635476261,0.6661316,-0.222451985,0.4844743,0.5216021,0.561112344,1.20342374,-0.04950577,0.5027437,-0.8034415,0.115156353,0.297437817,0.594740331,1.18546641,-0.05388133,0.609508634,-0.7159601,0.0357349329,0.338560939,0.62086457,1.17805588,-0.0644113347,0.5995032,-0.7166923,0.0150964856,0.355977654,0.649814367,1.16871524,-0.07789266,0.5995041,-0.7166923,0.0150984237,0.355975866,0.6076848,1.22417986,-0.07564568,0.35373652,-0.506281734,0.137911081,0.774293065,0.6330501,1.19260633,-0.0937528759,-0.07662318,-0.52503407,-0.11438746,0.839871168,0.625609934,1.16634738,-0.09351847,-0.352830172,-0.4566442,-0.283233732,0.766006231,0.605384648,1.15055013,-0.0859795138,-0.352829963,-0.4566441,-0.283233851,0.766006351,0.598782361,1.21982431,-0.09667899,0.39308387,-0.294759,0.245065838,0.835789859,0.627993643,1.19382524,-0.120025285,-0.1588808,-0.4179202,0.05392371,0.892856,0.6268971,1.16547668,-0.110148735,-0.500028,-0.4050226,-0.116283134,0.7565758,0.61001724,1.15173674,-0.09090327,-0.5000277,-0.405022681,-0.116283014,0.756576,0.586867,1.211314,-0.114613667,0.4070465,-0.161318317,0.329326481,0.8365605,0.6158936,1.192098,-0.1390653,-0.07900443,-0.2654404,0.173376665,0.945114,0.623734057,1.16665471,-0.1324432,-0.4064374,-0.309465438,0.06891447,0.8569077,0.620169938,1.14902174,-0.11269848,-0.4064373,-0.309465438,0.06891451,0.8569078,0.5719764,1.20120871,-0.126483411,0.08981238,0.179275051,0.41923,0.8854605,0.5964238,1.17944145,-0.137132451,-0.205932453,0.101193666,0.328663677,0.9161507,0.610355258,1.164314,-0.130408064,-0.377282351,0.03649377,0.341947615,0.8598827,0.6239228,1.15370238,-0.116658747,-0.377282351,0.03649377,0.341947615,0.8598827,Pinch
0.26737988,1.13724136,-0.0111472942,0.4675241,-0.277818978,0.61627,0.569604456,0.532879233,1.19154668,-0.0636451244,0.6660677,-0.222320467,0.4844957,0.521719933,0.5610842,1.203473,-0.04961037,0.502673566,-0.8034069,0.11535833,0.297571868,0.5947123,1.18551385,-0.0539773479,0.609703243,-0.7157032,0.0358231068,0.338744432,0.6208377,1.17811751,-0.06451457,0.5996981,-0.7164379,0.0152032524,0.3561573,0.649789333,1.16879272,-0.07800285,0.599699,-0.7164379,0.01520519,0.3561555,0.6076529,1.22422218,-0.0757623762,0.3535447,-0.5063015,0.1381735,0.77432096,0.633028567,1.192643,-0.09384524,-0.07644209,-0.524991155,-0.114178769,0.8399431,0.6256029,1.16638,-0.09361259,-0.352535725,-0.456728041,-0.282934666,0.766202569,0.6053925,1.15056264,-0.0860759541,-0.352535516,-0.456727922,-0.282934785,0.7662027,0.5987487,1.21985865,-0.0967932343,0.392806262,-0.294798672,0.24532713,0.8358298,0.6279747,1.19385135,-0.12011192,-0.158824846,-0.417146862,0.0536618158,0.893243432,0.626874149,1.1655,-0.110243745,-0.500022,-0.4042254,-0.116159007,0.757025242,0.610020041,1.15175807,-0.0909771845,-0.5000217,-0.4042255,-0.116158888,0.7570254,0.5868319,1.21134114,-0.114723668,0.406516045,-0.161246032,0.32953006,0.8367523,0.6158686,1.19209993,-0.1391434,-0.07943283,-0.264820457,0.173179179,0.9452882,0.623697,1.16665661,-0.132507116,-0.406804621,-0.308808,0.06898195,0.8569652,0.620144367,1.1490401,-0.112745643,-0.406804532,-0.308808,0.06898199,0.856965244,0.571940839,1.20123076,-0.12658827,0.0893279538,0.179249242,0.419187546,0.885534763,0.5963939,1.17945516,-0.137206972,-0.206383839,0.101127446,0.32857877,0.916087031,0.6103225,1.16433346,-0.130463943,-0.3776975,0.0364512652,0.341850966,0.859740853,0.6238842,1.15373278,-0.116700456,-0.3776975,0.0364512652,0.341850966,0.859740853,Pinch
0.267424673,1.13726151,-0.0111141577,0.467854559,-0.278040767,0.616371036,0.5691155,0.5328974,1.1918062,-0.063498646,0.6660969,-0.222254217,0.484490365,0.5217158,0.5611026,1.20373571,-0.0494670942,0.5027099,-0.8032694,0.115464024,0.2978405,0.594732463,1.18578124,-0.05383997,0.6099321,-0.7155547,0.0364162959,0.338582784,0.620873451,1.17840362,-0.06435155,0.600103259,-0.7162989,0.0161462277,0.355712682,0.64986074,1.16911316,-0.07778686,0.600104153,-0.7162989,0.0161481649,0.3557109,0.607666552,1.224489,-0.07562442,0.353749216,-0.506657958,0.138154611,0.773997664,0.6330573,1.19292223,-0.0937076658,-0.07624502,-0.5256844,-0.114042021,0.8395459,0.625643134,1.1666559,-0.0934861,-0.3521686,-0.457445353,-0.283007771,0.7659164,0.60542953,1.15082681,-0.0859825462,-0.352168381,-0.457445234,-0.2830079,0.7659165,0.598760664,1.22012389,-0.09665425,0.3928188,-0.294687957,0.245493934,0.835814,0.6279954,1.19412494,-0.11997132,-0.158658013,-0.416719079,0.05365046,0.893473566,0.6269032,1.16577041,-0.110111564,-0.499909669,-0.403835982,-0.115972713,0.7573359,0.6100691,1.15201938,-0.09083392,-0.499909371,-0.403836071,-0.115972593,0.7573361,0.5868429,1.21160471,-0.114583232,0.406587064,-0.16083923,0.329411924,0.836842537,0.615860641,1.19236171,-0.139024168,-0.08011021,-0.26513198,0.173482016,0.9450882,0.623691559,1.16693008,-0.132346258,-0.407796085,-0.309240639,0.06900143,0.856336236,0.620111763,1.14935684,-0.112551175,-0.407796,-0.309240639,0.069001466,0.8563363,0.571951568,1.20149255,-0.126446053,0.08923182,0.179127812,0.419513971,0.8854145,0.596423,1.17973459,-0.137058675,-0.206632629,0.100981154,0.328566343,0.916051269,0.6103504,1.164617,-0.130303964,-0.37799865,0.0362846851,0.341813475,0.859630167,0.623906732,1.15402508,-0.11652834,-0.37799865,0.0362846851,0.341813475,0.859630167,Pinch
