rightLowerArm_positionX,rightLowerArm_positionY,rightLowerArm_positionZ,rightLowerArm_rotation_x,rightLowerArm_rotation_y,rightLowerArm_rotation_z,rightLowerArm_rotation_w,rightHand_positionX,rightHand_positionY,rightHand_positionZ,rightHand_rotation_x,rightHand_rotation_y,rightHand_rotation_z,rightHand_rotation_w,rightThumbProximal_positionX,rightThumbProximal_positionY,rightThumbProximal_positionZ,rightThumbProximal_rotation_x,rightThumbProximal_rotation_y,rightThumbProximal_rotation_z,rightThumbProximal_rotation_w,rightThumbMedial_positionX,rightThumbMedial_positionY,rightThumbMedial_positionZ,rightThumbMedial_rotation_x,rightThumbMedial_rotation_y,rightThumbMedial_rotation_z,rightThumbMedial_rotation_w,rightThumbDistal_positionX,rightThumbDistal_positionY,rightThumbDistal_positionZ,rightThumbDistal_rotation_x,rightThumbDistal_rotation_y,rightThumbDistal_rotation_z,rightThumbDistal_rotation_w,rightThumbTip_positionX,rightThumbTip_positionY,rightThumbTip_positionZ,rightThumbTip_rotation_x,rightThumbTip_rotation_y,rightThumbTip_rotation_z,rightThumbTip_rotation_w,rightIndexProximal_positionX,rightIndexProximal_positionY,rightIndexProximal_positionZ,rightIndexProximal_rotation_x,rightIndexProximal_rotation_y,rightIndexProximal_rotation_z,rightIndexProximal_rotation_w,rightIndexMedial_positionX,rightIndexMedial_positionY,rightIndexMedial_positionZ,rightIndexMedial_rotation_x,rightIndexMedial_rotation_y,rightIndexMedial_rotation_z,rightIndexMedial_rotation_w,rightIndexDistal_positionX,rightIndexDistal_positionY,rightIndexDistal_positionZ,rightIndexDistal_rotation_x,rightIndexDistal_rotation_y,rightIndexDistal_rotation_z,rightIndexDistal_rotation_w,rightIndexTip_positionX,rightIndexTip_positionY,rightIndexTip_positionZ,rightIndexTip_rotation_x,rightIndexTip_rotation_y,rightIndexTip_rotation_z,rightIndexTip_rotation_w,rightMiddleProximal_positionX,rightMiddleProximal_positionY,rightMiddleProximal_positionZ,rightMiddleProximal_rotation_x,rightMiddleProximal_rotation_y,rightMiddleProximal_rotation_z,rightMiddleProximal_rotation_w,rightMiddleMedial_positionX,rightMiddleMedial_positionY,rightMiddleMedial_positionZ,rightMiddleMedial_rotation_x,rightMiddleMedial_rotation_y,rightMiddleMedial_rotation_z,rightMiddleMedial_rotation_w,rightMiddleDistal_positionX,rightMiddleDistal_positionY,rightMiddleDistal_positionZ,rightMiddleDistal_rotation_x,rightMiddleDistal_rotation_y,rightMiddleDistal_rotation_z,rightMiddleDistal_rotation_w,rightMiddleTip_positionX,rightMiddleTip_positionY,rightMiddleTip_positionZ,rightMiddleTip_rotation_x,rightMiddleTip_rotation_y,rightMiddleTip_rotation_z,rightMiddleTip_rotation_w,rightRingProximal_positionX,rightRingProximal_positionY,rightRingProximal_positionZ,rightRingProximal_rotation_x,rightRingProximal_rotation_y,rightRingProximal_rotation_z,rightRingProximal_rotation_w,rightRingMedial_positionX,rightRingMedial_positionY,rightRingMedial_positionZ,rightRingMedial_rotation_x,rightRingMedial_rotation_y,rightRingMedial_rotation_z,rightRingMedial_rotation_w,rightRingDistal_positionX,rightRingDistal_positionY,rightRingDistal_positionZ,rightRingDistal_rotation_x,rightRingDistal_rotation_y,rightRingDistal_rotation_z,rightRingDistal_rotation_w,rightRingTip_positionX,rightRingTip_positionY,rightRingTip_positionZ,rightRingTip_rotation_x,rightRingTip_rotation_y,rightRingTip_rotation_z,rightRingTip_rotation_w,rightLittleProximal_positionX,rightLittleProximal_positionY,rightLittleProximal_positionZ,rightLittleProximal_rotation_x,rightLittleProximal_rotation_y,rightLittleProximal_rotation_z,rightLittleProximal_rotation_w,rightLittleMedial_positionX,rightLittleMedial_positionY,rightLittleMedial_positionZ,rightLittleMedial_rotation_x,rightLittleMedial_rotation_y,rightLittleMedial_rotation_z,rightLittleMedial_rotation_w,rightLittleDistal_positionX,rightLittleDistal_positionY,rightLittleDistal_positionZ,rightLittleDistal_rotation_x,rightLittleDistal_rotation_y,rightLittleDistal_rotation_z,rightLittleDistal_rotation_w,rightLittleTip_positionX,rightLittleTip_positionY,rightLittleTip_positionZ,rightLittleTip_rotation_x,rightLittleTip_rotation_y,rightLittleTip_rotation_z,rightLittleTip_rotation_w,Gesture
0.262610048,1.13537788,-0.0134782344,0.480683029,-0.276507,0.574892759,0.601653159,0.5269395,1.16936171,-0.08538143,0.7181549,-0.135703877,0.402070552,0.5515229,0.5574887,1.182316,-0.07957905,0.5596417,-0.7842766,0.00302841957,0.267772377,0.5912354,1.16798067,-0.09089755,0.6363997,-0.6672735,-0.139848739,0.36081025,0.613032341,1.16358662,-0.109708719,0.5983795,-0.6505516,-0.203946561,0.420868784,0.6332254,1.15690911,-0.135296538,0.598380566,-0.6505523,-0.203944787,0.420867026,0.595017,1.20301235,-0.117610388,0.481824368,-0.318329334,0.1717788,0.798125,0.6207908,1.18186557,-0.146879584,0.003736156,-0.431731135,0.030228002,0.9014881,0.6223664,1.15462267,-0.1463512,-0.304920971,-0.4160184,-0.119307071,0.8483619,0.610166,1.13360965,-0.135168359,-0.3049208,-0.416018218,-0.119307183,0.848362,0.581054151,1.197736,-0.135437921,0.4368342,-0.13093394,0.245656908,0.8553857,0.605404735,1.17507076,-0.166544721,-0.100537084,-0.308360368,0.1706418,0.930423439,0.613081038,1.14738762,-0.157763585,-0.445680052,-0.3500296,0.041037377,0.8229003,0.6059788,1.12997329,-0.135618508,-0.445679754,-0.350029618,0.0410374776,0.8229005,0.565109432,1.18836141,-0.1493642,0.416851163,-0.04080656,0.3382058,0.8427258,0.5908059,1.17033708,-0.178078189,-0.0121322023,-0.183105141,0.277787566,0.942952752,0.605056763,1.14714408,-0.174659714,-0.304044157,-0.2602438,0.207283154,0.8926727,0.6107152,1.12766659,-0.157279074,-0.304044038,-0.260243773,0.207283184,0.8926728,0.547923148,1.17755353,-0.156613514,0.123338848,0.223941892,0.4964827,0.829543531,0.574375451,1.16114843,-0.171311662,-0.09320113,0.128971666,0.472676456,0.866751,0.5926242,1.1495558,-0.170454547,-0.2238841,0.05561486,0.486789137,0.842508,0.6112507,1.14017045,-0.163334265,-0.2238841,0.05561486,0.486789137,0.842508,Pinch
0.26268363,1.13542116,-0.0133491606,0.479325831,-0.272290051,0.577132165,0.6025146,0.526708364,1.17010987,-0.08603127,0.71494925,-0.132605955,0.404733062,0.5544861,0.557191,1.18325377,-0.08030596,0.5574792,-0.78450495,0.006640188,0.2715229,0.5908935,1.16873574,-0.09152298,0.632605553,-0.6669953,-0.140281811,0.367761731,0.6124668,1.16406834,-0.110525116,0.5925976,-0.649594545,-0.20637013,0.429262757,0.6321887,1.15699875,-0.136373788,0.5925987,-0.6495952,-0.206368357,0.429261029,0.5947175,1.20368588,-0.118481807,0.475761235,-0.320097029,0.174266651,0.800512433,0.620607734,1.18210042,-0.147324815,0.00154744158,-0.4309406,0.0318148658,0.9018182,0.6222104,1.15486217,-0.146652728,-0.3048602,-0.4161261,-0.116451912,0.848727763,0.610136867,1.13381112,-0.135403812,-0.304860026,-0.416125923,-0.116452023,0.8487279,0.580815732,1.198156,-0.136280254,0.430989057,-0.133331984,0.248463228,0.857167959,0.605449736,1.17515492,-0.166913837,-0.0985116363,-0.306635231,0.172685146,0.9308332,0.6132922,1.14748979,-0.15822354,-0.439107865,-0.34894526,0.045634672,0.826643348,0.606581032,1.12976074,-0.1362066,-0.439107567,-0.3489453,0.04563477,0.8266435,0.5649406,1.18856263,-0.150136843,0.4103232,-0.0405749381,0.341880977,0.844456,0.59092015,1.17029154,-0.178437158,-0.00685134158,-0.1784018,0.281545222,0.942793,0.605417848,1.14720845,-0.175326884,-0.291086942,-0.255058259,0.214569628,0.8967575,0.61173135,1.12748325,-0.158458784,-0.291086823,-0.255058229,0.214569658,0.896757543,0.547814965,1.17760444,-0.15730381,0.119870313,0.227955863,0.499965131,0.826862752,0.5743942,1.16138017,-0.1719736,-0.100826919,0.131643742,0.473526239,0.8650301,0.5926938,1.14988637,-0.170897469,-0.233032241,0.0570377633,0.488163769,0.83913,0.6113357,1.14074433,-0.163506135,-0.233032241,0.0570377633,0.488163769,0.83913,Pinch
0.2632236,1.13570476,-0.0126183555,0.47644943,-0.256200761,0.5861354,0.60316056,0.5257877,1.1746577,-0.08836648,0.702847,-0.130494192,0.4119393,0.565051854,0.5561944,1.18796325,-0.08261098,0.542489469,-0.790959835,0.01568775,0.282562435,0.589465,1.17219532,-0.09342276,0.6156742,-0.6729896,-0.14208816,0.384501517,0.6104182,1.1663264,-0.112782344,0.5710403,-0.653942645,-0.213220492,0.448117256,0.628910244,1.15777886,-0.13908954,0.5710414,-0.6539433,-0.2132187,0.4481156,0.594307363,1.20713842,-0.120857865,0.456262022,-0.3292268,0.177820578,0.8073502,0.6203737,1.18405139,-0.148347735,-0.006131482,-0.437132031,0.03668287,0.8986281,0.6220269,1.15683329,-0.14717178,-0.3029751,-0.424666673,-0.109946735,0.8460356,0.610168159,1.13564217,-0.1359575,-0.3029749,-0.4246665,-0.10994684,0.8460357,0.5806676,1.20104611,-0.138675451,0.414101332,-0.1455579,0.252142549,0.862413466,0.605965436,1.1769129,-0.167862862,-0.086598,-0.309140831,0.178042337,0.9301795,0.614307,1.1492281,-0.159716725,-0.409739852,-0.352113128,0.05730143,0.83955127,0.6087193,1.13012028,-0.138556033,-0.409739524,-0.352113158,0.057301525,0.8395514,0.5649918,1.19102049,-0.1524526,0.394809783,-0.0438523851,0.3463793,0.849837363,0.59150964,1.1719501,-0.179706976,0.013684433,-0.171936557,0.29071036,0.9411367,0.6066512,1.14916241,-0.177671209,-0.247123808,-0.245627537,0.231822208,0.908215642,0.6146566,1.12858462,-0.162639722,-0.2471237,-0.245627522,0.231822237,0.908215642,0.547964334,1.17984629,-0.159519166,0.115556613,0.236502141,0.5044447,0.8223434,0.574641347,1.16386187,-0.174274549,-0.11530935,0.136895373,0.474083036,0.8620956,0.593010247,1.15252626,-0.17278184,-0.25178054,0.05926586,0.489880145,0.83253324,0.6116451,1.14385891,-0.164822668,-0.25178054,0.05926586,0.489880145,0.83253324,Pinch
0.263550222,1.135866,-0.0122471191,0.477268249,-0.2516452,0.5889896,0.601648569,0.5254886,1.17710173,-0.0889471,0.6997795,-0.131978869,0.4088456,0.5707327,0.5560502,1.19012344,-0.08336521,0.53039515,-0.797288656,0.0119953807,0.287867457,0.588769,1.17335188,-0.0943489745,0.6079637,-0.6761191,-0.149664283,0.3883863,0.609327257,1.16706216,-0.11399772,0.5626418,-0.656088948,-0.221548408,0.451550573,0.627235234,1.158122,-0.140577078,0.562642932,-0.656089664,-0.2215466,0.4515489,0.594308555,1.20851445,-0.121851169,0.4480843,-0.332964122,0.1740354,0.8112133,0.6200731,1.184653,-0.148961678,-0.0139442636,-0.4358727,0.0311828945,0.89936,0.621272266,1.15742314,-0.147535309,-0.309966922,-0.42174384,-0.114409424,0.8443716,0.6091113,1.1365149,-0.13611567,-0.309966743,-0.421743661,-0.114409536,0.844371736,0.5805725,1.20240629,-0.139589012,0.409842551,-0.1523193,0.246437177,0.864925742,0.6056745,1.17769432,-0.16845952,-0.08423055,-0.3113666,0.173310265,0.930548131,0.6137881,1.1498853,-0.160508543,-0.4028076,-0.3522172,0.0541172661,0.8430663,0.608195543,1.13042963,-0.1396686,-0.402807266,-0.352217227,0.0541173629,0.8430664,0.564763546,1.19242549,-0.153246328,0.393194079,-0.047761973,0.34037742,0.8527956,0.5910579,1.172896,-0.180392012,0.0195286516,-0.171585992,0.286024243,0.9425324,0.6060341,1.14997077,-0.178709254,-0.236482635,-0.242641032,0.228859738,0.9125924,0.6141267,1.12904513,-0.164214164,-0.236482531,-0.242641017,0.228859767,0.9125924,0.547601759,1.18137443,-0.16018039,0.117380679,0.239383772,0.49980256,0.8240841,0.5740229,1.16509831,-0.175076663,-0.11575295,0.140121147,0.4703746,0.86354816,0.5923018,1.15361559,-0.173603818,-0.253496021,0.06243327,0.4868144,0.8335789,0.6108864,1.14485443,-0.165629968,-0.253496021,0.06243327,0.4868144,0.8335789,Pinch
0.263838947,1.13601649,-0.0118787847,0.478190452,-0.246984,0.591602743,0.60028255,0.525096655,1.17944181,-0.089683786,0.696796656,-0.1318601,0.406711727,0.5759108,0.555763841,1.19229615,-0.0842964351,0.519254565,-0.8031587,0.007707441,0.291978151,0.58794266,1.17462063,-0.09545679,0.600637436,-0.679911435,-0.156654462,0.3904032,0.6081685,1.1679399,-0.115320258,0.5551071,-0.65909,-0.228955492,0.4528091,0.6256166,1.15866125,-0.142088816,0.555108249,-0.6590907,-0.228953689,0.452807456,0.594074667,1.2100147,-0.123044774,0.439366251,-0.335501343,0.1727315,0.8152053,0.6196479,1.18542671,-0.149683058,-0.02536717,-0.43344605,0.0256788079,0.900456369,0.62031,1.1582042,-0.147828743,-0.32281214,-0.4173957,-0.119648226,0.840986,0.607719362,1.13779628,-0.1359777,-0.322811961,-0.417395532,-0.119648337,0.840986133,0.5802575,1.20382679,-0.140691757,0.404423177,-0.156656533,0.2443815,0.867282033,0.6053346,1.17862093,-0.169154078,-0.08795305,-0.311648548,0.169318676,0.930844069,0.613157,1.15076828,-0.161065221,-0.404894322,-0.351001918,0.0509045832,0.8427734,0.607392,1.13139093,-0.140199289,-0.404894,-0.351001948,0.05090468,0.8427735,0.564347863,1.19382322,-0.15421477,0.390681773,-0.049176462,0.337438047,0.855034947,0.590530038,1.17395675,-0.181223944,0.0184074286,-0.17015487,0.282287985,0.9439397,0.605322838,1.15091264,-0.17954196,-0.236532062,-0.239902854,0.2260217,0.9140095,0.6133281,1.12991929,-0.1650964,-0.236531958,-0.239902839,0.226021737,0.9140095,0.547091663,1.18282771,-0.1610013,0.115175784,0.241469741,0.495590657,0.8263273,0.573370159,1.1662277,-0.175792024,-0.11822775,0.142626658,0.46746406,0.864382744,0.59158504,1.15465188,-0.174255461,-0.256130755,0.06534187,0.4843506,0.8339859,0.6101279,1.14584446,-0.166235521,-0.256130755,0.06534187,0.4843506,0.8339859,Pinch
0.263838947,1.13601649,-0.0118787847,0.478190452,-0.246984,0.591602743,0.60028255,0.525096655,1.17944181,-0.089683786,0.696796656,-0.1318601,0.406711727,0.5759108,0.555763841,1.19229615,-0.0842964351,0.519254565,-0.8031587,0.007707441,0.291978151,0.58794266,1.17462063,-0.09545679,0.600637436,-0.679911435,-0.156654462,0.3904032,0.6081685,1.1679399,-0.115320258,0.5551071,-0.65909,-0.228955492,0.4528091,0.6256166,1.15866125,-0.142088816,0.555108249,-0.6590907,-0.228953689,0.452807456,0.594074667,1.2100147,-0.123044774,0.439366251,-0.335501343,0.1727315,0.8152053,0.6196479,1.18542671,-0.149683058,-0.02536717,-0.43344605,0.0256788079,0.900456369,0.62031,1.1582042,-0.147828743,-0.32281214,-0.4173957,-0.119648226,0.840986,0.607719362,1.13779628,-0.1359777,-0.322811961,-0.417395532,-0.119648337,0.840986133,0.5802575,1.20382679,-0.140691757,0.404423177,-0.156656533,0.2443815,0.867282033,0.6053346,1.17862093,-0.169154078,-0.08795305,-0.311648548,0.169318676,0.930844069,0.613157,1.15076828,-0.161065221,-0.404894322,-0.351001918,0.0509045832,0.8427734,0.607392,1.13139093,-0.140199289,-0.404894,-0.351001948,0.05090468,0.8427735,0.564347863,1.19382322,-0.15421477,0.390681773,-0.049176462,0.337438047,0.855034947,0.590530038,1.17395675,-0.181223944,0.0184074286,-0.17015487,0.282287985,0.9439397,0.605322838,1.15091264,-0.17954196,-0.236532062,-0.239902854,0.2260217,0.9140095,0.6133281,1.12991929,-0.1650964,-0.236531958,-0.239902839,0.226021737,0.9140095,0.547091663,1.18282771,-0.1610013,0.115175784,0.241469741,0.495590657,0.8263273,0.573370159,1.1662277,-0.175792024,-0.11822775,0.142626658,0.46746406,0.864382744,0.59158504,1.15465188,-0.174255461,-0.256130755,0.06534187,0.4843506,0.8339859,0.6101279,1.14584446,-0.166235521,-0.256130755,0.06534187,0.4843506,0.8339859,Pinch
0.2651549,1.13678145,-0.009836629,0.491363138,-0.229638159,0.5984409,0.589658737,0.5222597,1.19175017,-0.09392349,0.679597437,-0.127165243,0.4083535,0.5960067,0.5530576,1.20448947,-0.0890314057,0.4845649,-0.8219799,0.00946795847,0.299092174,0.583842754,1.1841439,-0.0995568,0.5695549,-0.7031248,-0.161730051,0.393784642,0.603460431,1.17543852,-0.119245321,0.5233108,-0.6813445,-0.237298936,0.453436852,0.620027661,1.16413689,-0.145795,0.5233119,-0.6813452,-0.237297058,0.4534353,0.591791153,1.2196933,-0.128422484,0.394196779,-0.34778446,0.171483189,0.8332156,0.6166332,1.19172645,-0.152273819,-0.0546952635,-0.426930338,0.0181739088,0.902446151,0.6162539,1.1646142,-0.149156019,-0.341514647,-0.410166621,-0.119846441,0.8371191,0.603393555,1.1448735,-0.136492282,-0.341514468,-0.410166472,-0.11984656,0.8371192,0.5779898,1.212765,-0.145804822,0.371724457,-0.176656678,0.240848273,0.8789797,0.603255033,1.18509126,-0.171691686,-0.11248032,-0.3172736,0.156750128,0.928501546,0.6098552,1.15728772,-0.162429333,-0.420622528,-0.351626873,0.03989554,0.835370362,0.6031979,1.13860667,-0.141197175,-0.4206222,-0.3516269,0.0398956351,0.8353705,0.5620268,1.20226717,-0.158882722,0.3701643,-0.05011329,0.3336056,0.8655486,0.588172257,1.18085372,-0.184719875,-0.0294371974,-0.173194,0.270448565,0.946570337,0.601939261,1.15747941,-0.180621013,-0.298973352,-0.243318722,0.2096055,0.89859736,0.608115554,1.13789022,-0.1635448,-0.298973233,-0.2433187,0.20960553,0.8985974,0.54466933,1.19114637,-0.1651897,0.0721618161,0.244299844,0.4744688,0.84260875,0.570979059,1.172581,-0.177355662,-0.1506753,0.147523969,0.456013322,0.8646304,0.5890027,1.16092515,-0.174629763,-0.2830579,0.0749531,0.473385185,0.8307629,0.607272744,1.15229475,-0.1658291,-0.2830579,0.0749531,0.473385185,0.8307629,Pinch
0.265490949,1.13699365,-0.009247284,0.497860163,-0.227916285,0.5979799,0.5853287,0.5213666,1.195206,-0.0948858857,0.678797543,-0.130038649,0.40449065,0.598925233,0.552313268,1.20761049,-0.09007291,0.473241955,-0.829214454,0.000276518753,0.297397852,0.582435846,1.18642569,-0.100856535,0.5584785,-0.713303864,-0.170062065,0.387786955,0.6017993,1.17715359,-0.120537959,0.513419449,-0.6908139,-0.2459669,0.4457324,0.6181061,1.16544831,-0.147073954,0.5134206,-0.6908147,-0.245964989,0.4457309,0.5911373,1.22232127,-0.12956202,0.385326773,-0.353245825,0.16441609,0.8364853,0.61541754,1.19353032,-0.1530078,-0.0644026548,-0.4290865,0.0107411211,0.900900543,0.6144374,1.16646945,-0.1495892,-0.349955767,-0.409861684,-0.127451986,0.832646668,0.601087451,1.14714158,-0.136795968,-0.3499556,-0.409861535,-0.1274521,0.8326468,0.577226639,1.21551907,-0.146906912,0.366518855,-0.18196474,0.23499231,0.8816639,0.6021739,1.18724144,-0.172447219,-0.1214694,-0.320676148,0.1495706,0.9273838,0.60816735,1.15943217,-0.162797853,-0.430294931,-0.352454484,0.03131127,0.830446661,0.6008661,1.14119387,-0.141393185,-0.430294633,-0.3524545,0.03131137,0.8304468,0.5611229,1.20517838,-0.159937546,0.3656389,-0.0508180335,0.3289165,0.869217634,0.5870283,1.18321729,-0.185555845,-0.0520140976,-0.1778526,0.2636801,0.9466445,0.600217,1.15974557,-0.180281073,-0.331480265,-0.248287991,0.1987753,0.88823545,0.6052528,1.14101493,-0.161915839,-0.331480145,-0.248287976,0.198775336,0.8882355,0.543631,1.19424081,-0.1661936,0.05669573,0.240609333,0.463715017,0.8508003,0.569852948,1.17484367,-0.177195683,-0.1582225,0.14665547,0.449786633,0.866689265,0.587725937,1.16304469,-0.174116641,-0.2868644,0.07728805,0.46673587,0.833002567,0.6058406,1.15423429,-0.165174335,-0.2868644,0.07728805,0.46673587,0.833002567,Pinch
0.265490949,1.13699365,-0.009247284,0.497860163,-0.227916285,0.5979799,0.5853287,0.5213666,1.195206,-0.0948858857,0.678797543,-0.130038649,0.40449065,0.598925233,0.552313268,1.20761049,-0.09007291,0.473241955,-0.829214454,0.000276518753,0.297397852,0.582435846,1.18642569,-0.100856535,0.5584785,-0.713303864,-0.170062065,0.387786955,0.6017993,1.17715359,-0.120537959,0.513419449,-0.6908139,-0.2459669,0.4457324,0.6181061,1.16544831,-0.147073954,0.5134206,-0.6908147,-0.245964989,0.4457309,0.5911373,1.22232127,-0.12956202,0.385326773,-0.353245825,0.16441609,0.8364853,0.61541754,1.19353032,-0.1530078,-0.0644026548,-0.4290865,0.0107411211,0.900900543,0.6144374,1.16646945,-0.1495892,-0.349955767,-0.409861684,-0.127451986,0.832646668,0.601087451,1.14714158,-0.136795968,-0.3499556,-0.409861535,-0.1274521,0.8326468,0.577226639,1.21551907,-0.146906912,0.366518855,-0.18196474,0.23499231,0.8816639,0.6021739,1.18724144,-0.172447219,-0.1214694,-0.320676148,0.1495706,0.9273838,0.60816735,1.15943217,-0.162797853,-0.430294931,-0.352454484,0.03131127,0.830446661,0.6008661,1.14119387,-0.141393185,-0.430294633,-0.3524545,0.03131137,0.8304468,0.5611229,1.20517838,-0.159937546,0.3656389,-0.0508180335,0.3289165,0.869217634,0.5870283,1.18321729,-0.185555845,-0.0520140976,-0.1778526,0.2636801,0.9466445,0.600217,1.15974557,-0.180281073,-0.331480265,-0.248287991,0.1987753,0.88823545,0.6052528,1.14101493,-0.161915839,-0.331480145,-0.248287976,0.198775336,0.8882355,0.543631,1.19424081,-0.1661936,0.05669573,0.240609333,0.463715017,0.8508003,0.569852948,1.17484367,-0.177195683,-0.1582225,0.14665547,0.449786633,0.866689265,0.587725937,1.16304469,-0.174116641,-0.2868644,0.07728805,0.46673587,0.833002567,0.6058406,1.15423429,-0.165174335,-0.2868644,0.07728805,0.46673587,0.833002567,Pinch
0.26629293,1.13748026,-0.007990841,0.5094038,-0.22458607,0.599035561,0.5755218,0.5197824,1.20280945,-0.09557024,0.6812686,-0.133194938,0.401966751,0.59712255,0.5507989,1.21501076,-0.09068768,0.4632579,-0.83581,-0.0151307415,0.294252723,0.5801726,1.193126,-0.102119759,0.5424292,-0.731096745,-0.175881132,0.374612123,0.599435,1.18294191,-0.121446446,0.5015938,-0.7094628,-0.249197125,0.427746773,0.6160231,1.17054427,-0.147489071,0.5015949,-0.7094636,-0.249195173,0.427745283,0.5896535,1.22985935,-0.1300951,0.375686973,-0.362421721,0.155036688,0.838733256,0.61327225,1.20015156,-0.1530681,-0.07683423,-0.434206843,-0.0007391294,0.8975305,0.611414969,1.17318022,-0.149321362,-0.361612141,-0.4108658,-0.1404472,0.8250461,0.5972683,1.15448236,-0.136448413,-0.361611962,-0.410865664,-0.140447319,0.825046241,0.5756875,1.22327936,-0.147481263,0.3589301,-0.189186513,0.231942251,0.884070337,0.600551,1.19437051,-0.172388777,-0.13637194,-0.320970684,0.137213692,0.927121043,0.6055643,1.16657913,-0.162146881,-0.4483949,-0.3486144,0.0178259015,0.8228564,0.5973337,1.14922643,-0.1403467,-0.4483946,-0.348614424,0.017826,0.8228566,0.5595151,1.21313524,-0.160581172,0.3429068,-0.0590235144,0.3229859,0.88011986,0.5854227,1.18947482,-0.1846366,-0.0773474947,-0.185305536,0.256427318,0.9454759,0.5979394,1.16597593,-0.178016812,-0.355673075,-0.253320515,0.18953,0.879434049,0.6020309,1.14794159,-0.158742487,-0.355672956,-0.2533205,0.18953003,0.8794341,0.5419593,1.20234311,-0.166910261,0.0238604527,0.233781725,0.440327764,0.866538048,0.567843556,1.18130827,-0.175420567,-0.179122224,0.141573116,0.443427473,0.8667437,0.585572362,1.16956854,-0.1714194,-0.303521574,0.07544049,0.459325135,0.8313868,0.6034143,1.16088915,-0.161824435,-0.303521574,0.07544049,0.459325135,0.8313868,Pinch
