
leftLowerArm_positionX,leftLowerArm_positionY,leftLowerArm_positionZ,leftLowerArm_rotation_x,leftLowerArm_rotation_y,leftLowerArm_rotation_z,leftLowerArm_rotation_w,leftHand_positionX,leftHand_positionY,leftHand_positionZ,leftHand_rotation_x,leftHand_rotation_y,leftHand_rotation_z,leftHand_rotation_w,leftThumbProximal_positionX,leftThumbProximal_positionY,leftThumbProximal_positionZ,leftThumbProximal_rotation_x,leftThumbProximal_rotation_y,leftThumbProximal_rotation_z,leftThumbProximal_rotation_w,leftThumbMedial_positionX,leftThumbMedial_positionY,leftThumbMedial_positionZ,leftThumbMedial_rotation_x,leftThumbMedial_rotation_y,leftThumbMedial_rotation_z,leftThumbMedial_rotation_w,leftThumbDistal_positionX,leftThumbDistal_positionY,leftThumbDistal_positionZ,leftThumbDistal_rotation_x,leftThumbDistal_rotation_y,leftThumbDistal_rotation_z,leftThumbDistal_rotation_w,leftThumbTip_positionX,leftThumbTip_positionY,leftThumbTip_positionZ,leftThumbTip_rotation_x,leftThumbTip_rotation_y,leftThumbTip_rotation_z,leftThumbTip_rotation_w,leftIndexProximal_positionX,leftIndexProximal_positionY,leftIndexProximal_positionZ,leftIndexProximal_rotation_x,leftIndexProximal_rotation_y,leftIndexProximal_rotation_z,leftIndexProximal_rotation_w,leftIndexMedial_positionX,leftIndexMedial_positionY,leftIndexMedial_positionZ,leftIndexMedial_rotation_x,leftIndexMedial_rotation_y,leftIndexMedial_rotation_z,leftIndexMedial_rotation_w,leftIndexDistal_positionX,leftIndexDistal_positionY,leftIndexDistal_positionZ,leftIndexDistal_rotation_x,leftIndexDistal_rotation_y,leftIndexDistal_rotation_z,leftIndexDistal_rotation_w,leftIndexTip_positionX,leftIndexTip_positionY,leftIndexTip_positionZ,leftIndexTip_rotation_x,leftIndexTip_rotation_y,leftIndexTip_rotation_z,leftIndexTip_rotation_w,leftMiddleProximal_positionX,leftMiddleProximal_positionY,leftMiddleProximal_positionZ,leftMiddleProximal_rotation_x,leftMiddleProximal_rotation_y,leftMiddleProximal_rotation_z,leftMiddleProximal_rotation_w,leftMiddleMedial_positionX,leftMiddleMedial_positionY,leftMiddleMedial_positionZ,leftMiddleMedial_rotation_x,leftMiddleMedial_rotation_y,leftMiddleMedial_rotation_z,leftMiddleMedial_rotation_w,leftMiddleDistal_positionX,leftMiddleDistal_positionY,leftMiddleDistal_positionZ,leftMiddleDistal_rotation_x,leftMiddleDistal_rotation_y,leftMiddleDistal_rotation_z,leftMiddleDistal_rotation_w,leftMiddleTip_positionX,leftMiddleTip_positionY,leftMiddleTip_positionZ,leftMiddleTip_rotation_x,leftMiddleTip_rotation_y,leftMiddleTip_rotation_z,leftMiddleTip_rotation_w,leftRingProximal_positionX,leftRingProximal_positionY,leftRingProximal_positionZ,leftRingProximal_rotation_x,leftRingProximal_rotation_y,leftRingProximal_rotation_z,leftRingProximal_rotation_w,leftRingMedial_positionX,leftRingMedial_positionY,leftRingMedial_positionZ,leftRingMedial_rotation_x,leftRingMedial_rotation_y,leftRingMedial_rotation_z,leftRingMedial_rotation_w,leftRingDistal_positionX,leftRingDistal_positionY,leftRingDistal_positionZ,leftRingDistal_rotation_x,leftRingDistal_rotation_y,leftRingDistal_rotation_z,leftRingDistal_rotation_w,leftRingTip_positionX,leftRingTip_positionY,leftRingTip_positionZ,leftRingTip_rotation_x,leftRingTip_rotation_y,leftRingTip_rotation_z,leftRingTip_rotation_w,leftLittleProximal_positionX,leftLittleProximal_positionY,leftLittleProximal_positionZ,leftLittleProximal_rotation_x,leftLittleProximal_rotation_y,leftLittleProximal_rotation_z,leftLittleProximal_rotation_w,leftLittleMedial_positionX,leftLittleMedial_positionY,leftLittleMedial_positionZ,leftLittleMedial_rotation_x,leftLittleMedial_rotation_y,leftLittleMedial_rotation_z,leftLittleMedial_rotation_w,leftLittleDistal_positionX,leftLittleDistal_positionY,leftLittleDistal_positionZ,leftLittleDistal_rotation_x,leftLittleDistal_rotation_y,leftLittleDistal_rotation_z,leftLittleDistal_rotation_w,leftLittleTip_positionX,leftLittleTip_positionY,leftLittleTip_positionZ,leftLittleTip_rotation_x,leftLittleTip_rotation_y,leftLittleTip_rotation_z,leftLittleTip_rotation_w,direction,timestamp
-0.121453531,1.01894271,0.0511658937,0.269101,-0.4796239,0.7897309,0.2717926,0.0459745,1.11446226,0.2000469,0.06316863,-0.6901441,0.6965452,0.185838461,0.0739518851,1.10912144,0.20854339,0.0211141836,-0.3221093,0.7862416,0.526900232,0.102465488,1.11715388,0.224939689,-0.143178836,-0.550822854,0.7640343,0.303884953,0.11034555,1.122512,0.24880676,-0.1971448,-0.6831827,0.648394644,0.271992981,0.112792693,1.12012124,0.277965426,-0.197143853,-0.6831807,0.6483967,0.271994054,0.09055406,1.10821557,0.256869316,0.546443164,-0.6162228,0.5669512,0.015349905,0.117598042,1.11761308,0.283564657,0.5453302,-0.6392947,0.5408018,0.03808893,0.135382056,1.12194073,0.299216747,0.544062555,-0.6540628,0.5228443,0.0532144941,0.153492242,1.12521529,0.31399262,0.544063568,-0.6540626,0.52284354,0.0532134,0.07418921,1.11128867,0.263697326,0.09959411,-0.8216519,0.516364634,0.219855979,0.08989071,1.09332967,0.2960375,0.088786684,-0.845786452,0.475804031,0.2244384,0.099532634,1.079243,0.316314667,0.08146314,-0.8607687,0.448131144,0.227199152,0.108347982,1.06424391,0.3351432,0.0814631954,-0.860768557,0.448131353,0.227199137,0.0564571135,1.11213624,0.267052263,0.0866209045,-0.514165938,0.8494844,0.08066401,0.06494473,1.12933743,0.299317122,0.07651533,-0.6106572,0.7829995,0.09030646,0.07063039,1.135096,0.322132319,0.0691750348,-0.6703535,0.732541263,0.0960450843,0.07613267,1.137048,0.34496668,0.0691750646,-0.670353234,0.7325415,0.09604506,0.0396258831,1.11229885,0.2654526,0.171744555,-0.5671308,0.801800847,-0.0773409158,0.04177563,1.12277007,0.2938822,0.1856334,-0.749716341,0.6343874,-0.0319067948,0.0463167652,1.12036121,0.312268466,0.188355312,-0.8456403,0.4994141,-0.0002659522,0.05250645,1.11199486,0.328696072,0.188355416,-0.8456404,0.499413878,-0.000265933428,,2025-01-30 14:37:50
-0.121443391,1.01895988,0.0511946455,0.269165754,-0.479409575,0.789859354,0.271733,0.045965746,1.11459517,0.200022429,0.06314167,-0.690161467,0.69652456,0.1858596,0.0739426,1.10925186,0.208519056,0.0211169552,-0.322177827,0.786144257,0.527003467,0.102458388,1.11727393,0.224916637,-0.143210977,-0.5508235,0.764006436,0.303938448,0.1103392,1.12263036,0.248783842,-0.197174981,-0.6831511,0.6483955,0.272047758,0.1127876,1.12024033,0.277942449,-0.197174028,-0.6831491,0.6483975,0.272048831,0.0905441046,1.10834277,0.256845146,0.5447065,-0.6178677,0.5668108,0.0161184371,0.117608391,1.11757946,0.283576041,0.543551147,-0.6410987,0.5403957,0.0389518924,0.135406569,1.12179267,0.299243271,0.542249143,-0.655962,0.522253633,0.0541390777,0.153530687,1.124945,0.314028621,0.542250156,-0.6559618,0.522252858,0.05413798,0.0741794258,1.11141694,0.263673067,0.092963405,-0.8207104,0.5171341,0.22442013,0.08963931,1.09341931,0.296107978,0.0778723359,-0.853205442,0.4615559,0.230092242,0.0987913162,1.07852817,0.316034347,0.06761605,-0.872790635,0.423355669,0.2333122,0.10688132,1.0623163,0.33417055,0.0676161051,-0.8727905,0.423355877,0.23331219,0.05644736,1.11226571,0.2670278,0.0861595348,-0.5144859,0.849320352,0.0808435455,0.06492969,1.12944,0.29930833,0.0760971457,-0.6104257,0.783212245,0.09037878,0.0706058,1.13521159,0.3221226,0.0687957853,-0.6698085,0.7330741,0.09605316,0.07609703,1.137198,0.344956666,0.0687958151,-0.669808269,0.733074367,0.09605314,0.03961617,1.11242962,0.265427947,0.171786681,-0.56672585,0.802084565,-0.07727481,0.04176503,1.12292933,0.293847084,0.185666814,-0.749577343,0.634548366,-0.0317788571,0.04630904,1.1205287,0.312233716,0.188366815,-0.8456262,0.4994338,-9.79883844e-05,0.05250226,1.11216331,0.328660458,0.18836692,-0.8456263,0.499433577,-9.79696051e-05,,2025-01-30 14:37:55
leftLowerArm_positionX,leftLowerArm_positionY,leftLowerArm_positionZ,leftLowerArm_rotation_x,leftLowerArm_rotation_y,leftLowerArm_rotation_z,leftLowerArm_rotation_w,leftHand_positionX,leftHand_positionY,leftHand_positionZ,leftHand_rotation_x,leftHand_rotation_y,leftHand_rotation_z,leftHand_rotation_w,leftThumbProximal_positionX,leftThumbProximal_positionY,leftThumbProximal_positionZ,leftThumbProximal_rotation_x,leftThumbProximal_rotation_y,leftThumbProximal_rotation_z,leftThumbProximal_rotation_w,leftThumbMedial_positionX,leftThumbMedial_positionY,leftThumbMedial_positionZ,leftThumbMedial_rotation_x,leftThumbMedial_rotation_y,leftThumbMedial_rotation_z,leftThumbMedial_rotation_w,leftThumbDistal_positionX,leftThumbDistal_positionY,leftThumbDistal_positionZ,leftThumbDistal_rotation_x,leftThumbDistal_rotation_y,leftThumbDistal_rotation_z,leftThumbDistal_rotation_w,leftThumbTip_positionX,leftThumbTip_positionY,leftThumbTip_positionZ,leftThumbTip_rotation_x,leftThumbTip_rotation_y,leftThumbTip_rotation_z,leftThumbTip_rotation_w,leftIndexProximal_positionX,leftIndexProximal_positionY,leftIndexProximal_positionZ,leftIndexProximal_rotation_x,leftIndexProximal_rotation_y,leftIndexProximal_rotation_z,leftIndexProximal_rotation_w,leftIndexMedial_positionX,leftIndexMedial_positionY,leftIndexMedial_positionZ,leftIndexMedial_rotation_x,leftIndexMedial_rotation_y,leftIndexMedial_rotation_z,leftIndexMedial_rotation_w,leftIndexDistal_positionX,leftIndexDistal_positionY,leftIndexDistal_positionZ,leftIndexDistal_rotation_x,leftIndexDistal_rotation_y,leftIndexDistal_rotation_z,leftIndexDistal_rotation_w,leftIndexTip_positionX,leftIndexTip_positionY,leftIndexTip_positionZ,leftIndexTip_rotation_x,leftIndexTip_rotation_y,leftIndexTip_rotation_z,leftIndexTip_rotation_w,leftMiddleProximal_positionX,leftMiddleProximal_positionY,leftMiddleProximal_positionZ,leftMiddleProximal_rotation_x,leftMiddleProximal_rotation_y,leftMiddleProximal_rotation_z,leftMiddleProximal_rotation_w,leftMiddleMedial_positionX,leftMiddleMedial_positionY,leftMiddleMedial_positionZ,leftMiddleMedial_rotation_x,leftMiddleMedial_rotation_y,leftMiddleMedial_rotation_z,leftMiddleMedial_rotation_w,leftMiddleDistal_positionX,leftMiddleDistal_positionY,leftMiddleDistal_positionZ,leftMiddleDistal_rotation_x,leftMiddleDistal_rotation_y,leftMiddleDistal_rotation_z,leftMiddleDistal_rotation_w,leftMiddleTip_positionX,leftMiddleTip_positionY,leftMiddleTip_positionZ,leftMiddleTip_rotation_x,leftMiddleTip_rotation_y,leftMiddleTip_rotation_z,leftMiddleTip_rotation_w,leftRingProximal_positionX,leftRingProximal_positionY,leftRingProximal_positionZ,leftRingProximal_rotation_x,leftRingProximal_rotation_y,leftRingProximal_rotation_z,leftRingProximal_rotation_w,leftRingMedial_positionX,leftRingMedial_positionY,leftRingMedial_positionZ,leftRingMedial_rotation_x,leftRingMedial_rotation_y,leftRingMedial_rotation_z,leftRingMedial_rotation_w,leftRingDistal_positionX,leftRingDistal_positionY,leftRingDistal_positionZ,leftRingDistal_rotation_x,leftRingDistal_rotation_y,leftRingDistal_rotation_z,leftRingDistal_rotation_w,leftRingTip_positionX,leftRingTip_positionY,leftRingTip_positionZ,leftRingTip_rotation_x,leftRingTip_rotation_y,leftRingTip_rotation_z,leftRingTip_rotation_w,leftLittleProximal_positionX,leftLittleProximal_positionY,leftLittleProximal_positionZ,leftLittleProximal_rotation_x,leftLittleProximal_rotation_y,leftLittleProximal_rotation_z,leftLittleProximal_rotation_w,leftLittleMedial_positionX,leftLittleMedial_positionY,leftLittleMedial_positionZ,leftLittleMedial_rotation_x,leftLittleMedial_rotation_y,leftLittleMedial_rotation_z,leftLittleMedial_rotation_w,leftLittleDistal_positionX,leftLittleDistal_positionY,leftLittleDistal_positionZ,leftLittleDistal_rotation_x,leftLittleDistal_rotation_y,leftLittleDistal_rotation_z,leftLittleDistal_rotation_w,leftLittleTip_positionX,leftLittleTip_positionY,leftLittleTip_positionZ,leftLittleTip_rotation_x,leftLittleTip_rotation_y,leftLittleTip_rotation_z,leftLittleTip_rotation_w,direction,timestamp
-0.122222692,1.01790106,0.0494769365,0.270004451,-0.494292,0.7809286,0.2700437,0.0455149561,1.10692322,0.201991662,0.06132713,-0.6899408,0.69623816,0.188343182,0.07346769,1.10141861,0.210464686,0.02078539,-0.321389228,0.7851312,0.5290045,0.102045365,1.109332,0.226807252,-0.144062728,-0.550183356,0.763404548,0.306199,0.1099861,1.11465371,0.250662327,-0.1985105,-0.682596266,0.647727251,0.274053842,0.112453014,1.11224389,0.27981773,-0.198509544,-0.68259424,0.6477293,0.2740549,0.09011274,1.10045242,0.2587747,0.598299,-0.5431596,0.5890668,0.004017717,0.115740076,1.11649883,0.283635944,0.597764432,-0.56406194,0.56908375,0.0256042,0.132682249,1.12522542,0.29836002,0.5969754,-0.577590644,0.5553479,0.0399787426,0.150005817,1.13300407,0.31237483,0.596976459,-0.577590466,0.555347,0.03997777,0.0737739056,1.10363173,0.265616447,0.245047823,-0.6014245,0.753307,0.1037716,0.0919019,1.11388111,0.2999861,0.237041533,-0.653509438,0.708596051,0.120947592,0.104657136,1.11697149,0.323014736,0.231032863,-0.6864103,0.6767747,0.1320638,0.117370345,1.1175561,0.345268428,0.2310329,-0.6864101,0.676774859,0.132063746,0.0560507327,1.10459054,0.268988431,0.09688875,-0.5125215,0.8494851,0.07943203,0.06484415,1.12193322,0.301095217,0.08672848,-0.6101355,0.782328546,0.09041571,0.07083077,1.12772167,0.3238257,0.07925603,-0.6704735,0.731278658,0.09703235,0.07668036,1.129657,0.346574962,0.07925606,-0.6704733,0.7312789,0.09703233,0.0392192155,1.1048547,0.26740554,0.1695783,-0.568343163,0.801630139,-0.0749552846,0.0414237939,1.11526442,0.295853525,0.183046564,-0.7531265,0.6312094,-0.029479662,0.0459770821,1.11266553,0.3142109,0.185392916,-0.849660635,0.493661523,0.00213907636,0.05214456,1.104034,0.330509126,0.185393021,-0.849660754,0.4936613,0.00213909359,,2025-01-30 14:38:11
-0.122068748,1.01801,0.0496194661,0.270680666,-0.492922127,0.7812197,0.2710271,0.0460636169,1.10743177,0.20146437,0.06125413,-0.6899231,0.6962472,0.188398451,0.07401524,1.101923,0.209938347,0.0207529142,-0.3214551,0.784958,0.5292228,0.1025977,1.10981786,0.2262815,-0.144150838,-0.5501195,0.763400555,0.306282252,0.110539615,1.11514056,0.250135958,-0.198590264,-0.682480156,0.6477906,0.274135351,0.113008805,1.11273742,0.279291719,-0.19858931,-0.68247813,0.647792637,0.274136424,0.09065916,1.10095739,0.258248746,0.5943369,-0.546710253,0.589751542,0.0080264,0.116468534,1.11669707,0.283117771,0.5935282,-0.5700755,0.567197442,0.032015916,0.133640364,1.12507737,0.297776818,0.5924511,-0.585138559,0.5516447,0.0479828119,0.1512531,1.1324085,0.3116719,0.592452168,-0.5851384,0.551643848,0.0479818247,0.07432075,1.1041398,0.265089959,0.226112291,-0.6118647,0.749597,0.112245753,0.09220278,1.113224,0.2999132,0.215009272,-0.677280545,0.6910609,0.132275641,0.104768246,1.11448538,0.323217332,0.20661658,-0.7178318,0.648838758,0.145035833,0.117197417,1.11262345,0.3455611,0.20661661,-0.7178316,0.648838937,0.145035788,0.05659766,1.10510206,0.268461525,0.0943984538,-0.512814462,0.849474132,0.08064794,0.065374814,1.12240767,0.3005928,0.08423362,-0.6093735,0.7831022,0.09121298,0.07131825,1.12823415,0.323324919,0.0767931044,-0.66911906,0.7327107,0.0975597054,0.07710986,1.13025022,0.346082032,0.0767931342,-0.6691188,0.732710958,0.09755968,0.03976622,1.10536909,0.266878247,0.16969052,-0.5679374,0.8019061,-0.07482528,0.04197556,1.115808,0.295315176,0.183150247,-0.7534122,0.6308537,-0.0291491766,0.04654219,1.11319339,0.313667,0.185437039,-0.850199342,0.492714345,0.002601844,0.0527238,1.10452616,0.329940915,0.185437143,-0.850199461,0.492714137,0.00260186126,,2025-01-30 14:38:16
leftLowerArm_positionX,leftLowerArm_positionY,leftLowerArm_positionZ,leftLowerArm_rotation_x,leftLowerArm_rotation_y,leftLowerArm_rotation_z,leftLowerArm_rotation_w,leftHand_positionX,leftHand_positionY,leftHand_positionZ,leftHand_rotation_x,leftHand_rotation_y,leftHand_rotation_z,leftHand_rotation_w,leftThumbProximal_positionX,leftThumbProximal_positionY,leftThumbProximal_positionZ,leftThumbProximal_rotation_x,leftThumbProximal_rotation_y,leftThumbProximal_rotation_z,leftThumbProximal_rotation_w,leftThumbMedial_positionX,leftThumbMedial_positionY,leftThumbMedial_positionZ,leftThumbMedial_rotation_x,leftThumbMedial_rotation_y,leftThumbMedial_rotation_z,leftThumbMedial_rotation_w,leftThumbDistal_positionX,leftThumbDistal_positionY,leftThumbDistal_positionZ,leftThumbDistal_rotation_x,leftThumbDistal_rotation_y,leftThumbDistal_rotation_z,leftThumbDistal_rotation_w,leftThumbTip_positionX,leftThumbTip_positionY,leftThumbTip_positionZ,leftThumbTip_rotation_x,leftThumbTip_rotation_y,leftThumbTip_rotation_z,leftThumbTip_rotation_w,leftIndexProximal_positionX,leftIndexProximal_positionY,leftIndexProximal_positionZ,leftIndexProximal_rotation_x,leftIndexProximal_rotation_y,leftIndexProximal_rotation_z,leftIndexProximal_rotation_w,leftIndexMedial_positionX,leftIndexMedial_positionY,leftIndexMedial_positionZ,leftIndexMedial_rotation_x,leftIndexMedial_rotation_y,leftIndexMedial_rotation_z,leftIndexMedial_rotation_w,leftIndexDistal_positionX,leftIndexDistal_positionY,leftIndexDistal_positionZ,leftIndexDistal_rotation_x,leftIndexDistal_rotation_y,leftIndexDistal_rotation_z,leftIndexDistal_rotation_w,leftIndexTip_positionX,leftIndexTip_positionY,leftIndexTip_positionZ,leftIndexTip_rotation_x,leftIndexTip_rotation_y,leftIndexTip_rotation_z,leftIndexTip_rotation_w,leftMiddleProximal_positionX,leftMiddleProximal_positionY,leftMiddleProximal_positionZ,leftMiddleProximal_rotation_x,leftMiddleProximal_rotation_y,leftMiddleProximal_rotation_z,leftMiddleProximal_rotation_w,leftMiddleMedial_positionX,leftMiddleMedial_positionY,leftMiddleMedial_positionZ,leftMiddleMedial_rotation_x,leftMiddleMedial_rotation_y,leftMiddleMedial_rotation_z,leftMiddleMedial_rotation_w,leftMiddleDistal_positionX,leftMiddleDistal_positionY,leftMiddleDistal_positionZ,leftMiddleDistal_rotation_x,leftMiddleDistal_rotation_y,leftMiddleDistal_rotation_z,leftMiddleDistal_rotation_w,leftMiddleTip_positionX,leftMiddleTip_positionY,leftMiddleTip_positionZ,leftMiddleTip_rotation_x,leftMiddleTip_rotation_y,leftMiddleTip_rotation_z,leftMiddleTip_rotation_w,leftRingProximal_positionX,leftRingProximal_positionY,leftRingProximal_positionZ,leftRingProximal_rotation_x,leftRingProximal_rotation_y,leftRingProximal_rotation_z,leftRingProximal_rotation_w,leftRingMedial_positionX,leftRingMedial_positionY,leftRingMedial_positionZ,leftRingMedial_rotation_x,leftRingMedial_rotation_y,leftRingMedial_rotation_z,leftRingMedial_rotation_w,leftRingDistal_positionX,leftRingDistal_positionY,leftRingDistal_positionZ,leftRingDistal_rotation_x,leftRingDistal_rotation_y,leftRingDistal_rotation_z,leftRingDistal_rotation_w,leftRingTip_positionX,leftRingTip_positionY,leftRingTip_positionZ,leftRingTip_rotation_x,leftRingTip_rotation_y,leftRingTip_rotation_z,leftRingTip_rotation_w,leftLittleProximal_positionX,leftLittleProximal_positionY,leftLittleProximal_positionZ,leftLittleProximal_rotation_x,leftLittleProximal_rotation_y,leftLittleProximal_rotation_z,leftLittleProximal_rotation_w,leftLittleMedial_positionX,leftLittleMedial_positionY,leftLittleMedial_positionZ,leftLittleMedial_rotation_x,leftLittleMedial_rotation_y,leftLittleMedial_rotation_z,leftLittleMedial_rotation_w,leftLittleDistal_positionX,leftLittleDistal_positionY,leftLittleDistal_positionZ,leftLittleDistal_rotation_x,leftLittleDistal_rotation_y,leftLittleDistal_rotation_z,leftLittleDistal_rotation_w,leftLittleTip_positionX,leftLittleTip_positionY,leftLittleTip_positionZ,leftLittleTip_rotation_x,leftLittleTip_rotation_y,leftLittleTip_rotation_z,leftLittleTip_rotation_w,direction,timestamp
-0.121767156,1.01842785,0.05030416,0.270280063,-0.487067819,0.784828544,0.271583855,0.0461875573,1.110497,0.200757042,0.06202803,-0.689740539,0.6965807,0.187579677,0.07415187,1.10505676,0.209233463,0.02129981,-0.3210994,0.7858312,0.5281198,0.102718323,1.113046,0.225558683,-0.14329493,-0.550314248,0.7637763,0.30539608,0.110654138,1.11838555,0.249411434,-0.197644651,-0.682884,0.647973359,0.273380369,0.113130756,1.11597431,0.2785659,-0.1976437,-0.682881951,0.6479754,0.273381442,0.09079684,1.10414612,0.257544577,0.582914054,-0.560135663,0.58845526,0.0134015474,0.1169768,1.11871338,0.2827385,0.5817082,-0.5862232,0.5624712,0.0397995971,0.134480089,1.12616742,0.297505379,0.58024013,-0.602949739,0.544502556,0.0573568866,0.152468145,1.13245308,0.311431885,0.5802412,-0.60294956,0.5445017,0.0573558733,0.0744508058,1.10729218,0.2643844,0.189724,-0.6254912,0.7461036,0.126865283,0.0915963352,1.11474025,0.299958318,0.167497858,-0.734688938,0.6388599,0.155030489,0.1033703,1.11135793,0.323463619,0.150334254,-0.797576368,0.558374166,0.171725333,0.114434093,1.10286653,0.344973683,0.1503343,-0.797576249,0.558374345,0.1717253,0.05672542,1.10821366,0.2677552,0.09090551,-0.5129379,0.849738955,0.08108527,0.06539845,1.12550437,0.2999227,0.08094387,-0.6075454,0.7848888,0.0910313055,0.0712386444,1.13144016,0.3226533,0.07369156,-0.66619736,0.7357601,0.09699558,0.07691674,1.13364542,0.345421463,0.07369159,-0.6661971,0.735760331,0.0969955549,0.03989343,1.10844052,0.266171455,0.170148209,-0.5672097,0.802267,-0.0754327,0.0420798026,1.118924,0.294593722,0.1837166,-0.7521424,0.63217175,-0.0298113246,0.0466363654,1.11638093,0.3129581,0.186109692,-0.848829,0.494821757,0.0019166437,0.052817326,1.1078043,0.3292802,0.1861098,-0.8488291,0.494821548,0.00191666139,,2025-01-30 14:38:54
-0.121954225,1.01819527,0.04993336,0.2697619,-0.490107834,0.7831801,0.271388322,0.04598435,1.10886908,0.201249152,0.061754033,-0.6898288,0.6964991,0.1876481,0.07394323,1.10341334,0.209733561,0.0211222321,-0.321275383,0.7856367,0.5283096,0.102509215,1.11138141,0.226069987,-0.143544629,-0.550345242,0.7636627,0.3055069,0.110440306,1.11671567,0.249925464,-0.197897062,-0.682861149,0.647889853,0.27345255,0.112908475,1.114304,0.279080629,-0.197896108,-0.6828591,0.6478919,0.273453623,0.09057273,1.102488,0.258049726,0.5918202,-0.5522458,0.5871203,0.007936091,0.116525054,1.1177516,0.283066332,0.590982,-0.5761175,0.563714862,0.032470718,0.133805931,1.12579691,0.297784775,0.5898581,-0.591484249,0.547569335,0.0487992242,0.1515356,1.13277185,0.31171447,0.5898592,-0.59148407,0.5475685,0.0487982258,0.07422619,1.10564184,0.26488483,0.21795778,-0.6040832,0.7583752,0.111557811,0.09160815,1.1154989,0.299751043,0.201650858,-0.6973267,0.673635662,0.138880089,0.104021952,1.11520457,0.3231685,0.188864022,-0.7530526,0.6107055,0.155824035,0.116193049,1.11052,0.345239133,0.188864052,-0.7530525,0.6107057,0.155823991,0.0565002374,1.106572,0.2682503,0.09504136,-0.5128728,0.8494705,0.07955313,0.06523272,1.12388623,0.300389051,0.08490952,-0.6102263,0.782472134,0.09028814,0.07116178,1.12967038,0.3231357,0.07747424,-0.6704156,0.7315612,0.09674362,0.07694618,1.13161206,0.345901132,0.07747427,-0.670415342,0.7315614,0.0967436,0.03966886,1.10680771,0.266661346,0.169898435,-0.567872941,0.801855862,-0.0753795654,0.0418579429,1.117246,0.295100063,0.183441743,-0.7522617,0.632103443,-0.0299445875,0.04640431,1.11469579,0.313465953,0.185862333,-0.848715961,0.495109856,0.00165626511,0.052571293,1.10612667,0.3297973,0.185862437,-0.8487161,0.495109648,0.00165628269,,2025-01-30 14:38:59
-0.121866971,1.01832163,0.05014222,0.2695887,-0.488323241,0.784308136,0.271520346,0.0459954739,1.10981131,0.201051056,0.0616773777,-0.689845145,0.6964817,0.187677711,0.0739529,1.10435116,0.209537342,0.0210711844,-0.321333557,0.7855631,0.5283855,0.102519259,1.11231124,0.225876987,-0.143619522,-0.5503423,0.7636341,0.305548251,0.110449426,1.11764443,0.249733031,-0.197970539,-0.682834446,0.6478818,0.2734849,0.11291606,1.11523378,0.2788884,-0.197969586,-0.6828324,0.647883832,0.273485959,0.0905788839,1.10342264,0.25785467,0.586746931,-0.5561663,0.5884222,0.0128908483,0.116721027,1.11833787,0.282883734,0.5854965,-0.5831539,0.5616878,0.0403977334,0.134259418,1.12596238,0.297521323,0.5839465,-0.6004368,0.543173552,0.0586907342,0.1523143,1.13238347,0.3112988,0.5839476,-0.6004366,0.5431727,0.05868972,0.07423236,1.10657883,0.264688671,0.198233768,-0.5931518,0.7706966,0.122069471,0.09124413,1.11729038,0.299485356,0.170207545,-0.7337328,0.638309,0.1588301,0.103239052,1.11391926,0.3228803,0.147698075,-0.8117317,0.535624743,0.179952517,0.114327878,1.10411155,0.343809724,0.147698119,-0.8117316,0.5356249,0.179952487,0.05650632,1.10751164,0.2680529,0.09266339,-0.5131211,0.849485338,0.08059116,0.06521526,1.12479424,0.300215065,0.08254002,-0.609485,0.783228457,0.0909318,0.0710990652,1.13061655,0.322963744,0.07514306,-0.6691187,0.7329386,0.0971338,0.07682497,1.13263655,0.345737129,0.07514309,-0.669118464,0.7329388,0.09713378,0.0396750942,1.10774994,0.266462773,0.169865683,-0.567546666,0.8021009,-0.0753007159,0.0418624,1.11821139,0.2948931,0.183403492,-0.7522914,0.632086,-0.0297943782,0.04641152,1.11565971,0.3132581,0.185798571,-0.848890662,0.494833052,0.0018535225,0.05258144,1.107079,0.329582274,0.185798675,-0.8488908,0.494832844,0.00185354007,,2025-01-30 14:39:04
