leftIndexProximal_positionX,leftIndexProximal_positionY,leftIndexProximal_positionZ,leftIndexProximal_rotation_x,leftIndexProximal_rotation_y,leftIndexProximal_rotation_z,leftIndexProximal_rotation_w,leftIndexMedial_positionX,leftIndexMedial_positionY,leftIndexMedial_positionZ,leftIndexMedial_rotation_x,leftIndexMedial_rotation_y,leftIndexMedial_rotation_z,leftIndexMedial_rotation_w,leftIndexDistal_positionX,leftIndexDistal_positionY,leftIndexDistal_positionZ,leftIndexDistal_rotation_x,leftIndexDistal_rotation_y,leftIndexDistal_rotation_z,leftIndexDistal_rotation_w,leftIndexTip_positionX,leftIndexTip_positionY,leftIndexTip_positionZ,leftIndexTip_rotation_x,leftIndexTip_rotation_y,leftIndexTip_rotation_z,leftIndexTip_rotation_w,leftMiddleProximal_positionX,leftMiddleProximal_positionY,leftMiddleProximal_positionZ,leftMiddleProximal_rotation_x,leftMiddleProximal_rotation_y,leftMiddleProximal_rotation_z,leftMiddleProximal_rotation_w,leftMiddleMedial_positionX,leftMiddleMedial_positionY,leftMiddleMedial_positionZ,leftMiddleMedial_rotation_x,leftMiddleMedial_rotation_y,leftMiddleMedial_rotation_z,leftMiddleMedial_rotation_w,leftMiddleDistal_positionX,leftMiddleDistal_positionY,leftMiddleDistal_positionZ,leftMiddleDistal_rotation_x,leftMiddleDistal_rotation_y,leftMiddleDistal_rotation_z,leftMiddleDistal_rotation_w,leftMiddleTip_positionX,leftMiddleTip_positionY,leftMiddleTip_positionZ,leftMiddleTip_rotation_x,leftMiddleTip_rotation_y,leftMiddleTip_rotation_z,leftMiddleTip_rotation_w,leftRingProximal_positionX,leftRingProximal_positionY,leftRingProximal_positionZ,leftRingProximal_rotation_x,leftRingProximal_rotation_y,leftRingProximal_rotation_z,leftRingProximal_rotation_w,leftRingMedial_positionX,leftRingMedial_positionY,leftRingMedial_positionZ,leftRingMedial_rotation_x,leftRingMedial_rotation_y,leftRingMedial_rotation_z,leftRingMedial_rotation_w,leftRingDistal_positionX,leftRingDistal_positionY,leftRingDistal_positionZ,leftRingDistal_rotation_x,leftRingDistal_rotation_y,leftRingDistal_rotation_z,leftRingDistal_rotation_w,leftRingTip_positionX,leftRingTip_positionY,leftRingTip_positionZ,leftRingTip_rotation_x,leftRingTip_rotation_y,leftRingTip_rotation_z,leftRingTip_rotation_w,leftLittleProximal_positionX,leftLittleProximal_positionY,leftLittleProximal_positionZ,leftLittleProximal_rotation_x,leftLittleProximal_rotation_y,leftLittleProximal_rotation_z,leftLittleProximal_rotation_w,leftLittleMedial_positionX,leftLittleMedial_positionY,leftLittleMedial_positionZ,leftLittleMedial_rotation_x,leftLittleMedial_rotation_y,leftLittleMedial_rotation_z,leftLittleMedial_rotation_w,leftLittleDistal_positionX,leftLittleDistal_positionY,leftLittleDistal_positionZ,leftLittleDistal_rotation_x,leftLittleDistal_rotation_y,leftLittleDistal_rotation_z,leftLittleDistal_rotation_w,leftLittleTip_positionX,leftLittleTip_positionY,leftLittleTip_positionZ,leftLittleTip_rotation_x,leftLittleTip_rotation_y,leftLittleTip_rotation_z,leftLittleTip_rotation_w,Direction
-0.291454941,1.52832019,0.3180265,-0.0151827913,-0.30711627,-0.7493408,0.5864617,-0.3378154,1.53476524,0.294933,-0.0706071556,-0.1786367,-0.8349761,0.5156729,-0.366277516,1.54774868,0.287692279,-0.124246657,-0.09017137,-0.8490967,0.5054371,-0.393993318,1.56262672,0.286825567,-0.124247931,-0.09017244,-0.8490966,0.5054368,-0.304801047,1.49933732,0.3269504,0.09537353,-0.346674979,-0.791915,0.4935491,-0.34314248,1.51393557,0.292485356,-0.0114517771,-0.2033715,-0.8258554,0.52580595,-0.3740003,1.5268116,0.281039476,-0.07510099,-0.101768948,-0.844417036,0.520540953,-0.4045717,1.5417608,0.2778371,-0.07510086,-0.101769149,-0.844417036,0.520540953,-0.3088923,1.46962345,0.339937568,0.0968286,-0.332395941,-0.8444894,0.4086254,-0.3402115,1.49189842,0.307879537,-0.0346189328,-0.203687474,-0.8318361,0.515132844,-0.368328661,1.50436711,0.2980932,-0.0929367,-0.107834235,-0.84959507,0.5078613,-0.396077067,1.51885068,0.2953011,-0.0929365456,-0.1078345,-0.849595,0.5078613,-0.302119881,1.44312918,0.352760375,-0.05552825,-0.3047233,-0.8925158,0.327834964,-0.3271892,1.46740067,0.332206935,-0.1764549,-0.186731562,-0.8363452,0.4842749,-0.349486381,1.479141,0.3286064,-0.215221584,-0.1181561,-0.8487526,0.468335479,-0.371418744,1.49297142,0.328632951,-0.215221748,-0.118155949,-0.8487527,0.46833536,left
-0.291419238,1.52836037,0.3179985,-0.0147178667,-0.307297766,-0.7489415,0.5868885,-0.337774,1.53474152,0.294875771,-0.07043262,-0.177981988,-0.8351262,0.5156803,-0.3662365,1.54773951,0.2876627,-0.124394491,-0.08896583,-0.8492341,0.505383968,-0.393945247,1.56263447,0.286863923,-0.124395765,-0.0889669061,-0.849234,0.5053837,-0.3047567,1.49937463,0.326925874,0.09529,-0.346790731,-0.791846454,0.493594021,-0.34310025,1.51395953,0.292457521,-0.0116286045,-0.203228369,-0.8259383,0.5257273,-0.373958975,1.52684557,0.2810253,-0.07536857,-0.101452075,-0.8445018,0.520426869,-0.404527038,1.54180741,0.277849555,-0.07536844,-0.101452276,-0.8445018,0.520426869,-0.308839619,1.46966171,0.3399178,0.096536465,-0.332387775,-0.8444486,0.408785284,-0.340180457,1.491924,0.307872236,-0.0356400535,-0.204728544,-0.830354452,0.5170375,-0.368366241,1.50423837,0.298087925,-0.093868345,-0.109535061,-0.848177135,0.5096928,-0.396183372,1.51858163,0.295255333,-0.09386819,-0.109535329,-0.8481771,0.5096928,-0.3020599,1.443172,0.3527462,-0.0553949662,-0.304799825,-0.8923821,0.328150153,-0.327145517,1.46742284,0.332188368,-0.1764534,-0.18693389,-0.8359629,0.484857023,-0.349459857,1.47913063,0.328588039,-0.215231329,-0.118454076,-0.848378956,0.46893236,-0.371412784,1.49292839,0.3286107,-0.2152315,-0.118453927,-0.848379,0.468932241,left
-0.2915052,1.52824044,0.318044424,-0.0147636179,-0.3071438,-0.74874115,0.587223351,-0.337875068,1.53459048,0.294943482,-0.07083972,-0.177443013,-0.834987342,0.516034842,-0.3663542,1.54757726,0.287776,-0.125008523,-0.0881559551,-0.8490693,0.5056512,-0.394069046,1.56246424,0.287043035,-0.1250098,-0.08815703,-0.8490692,0.5056509,-0.304831445,1.4992559,0.3269922,0.0947152749,-0.346644074,-0.7919323,0.493670046,-0.343208849,1.51384366,0.292562723,-0.0120147094,-0.203610778,-0.82572484,0.525906,-0.374075949,1.52670538,0.281125754,-0.0755585656,-0.102206059,-0.8442942,0.520588458,-0.404651165,1.54164517,0.277915537,-0.07555844,-0.10220626,-0.8442942,0.520588458,-0.308899939,1.46954691,0.339997947,0.0961894,-0.332304239,-0.8442421,0.409361422,-0.340293378,1.49176764,0.307974935,-0.03605342,-0.204490975,-0.8301844,0.517375767,-0.368496537,1.50406563,0.2982202,-0.09437153,-0.10922806,-0.8479929,0.509972036,-0.3963243,1.51839519,0.295423,-0.09437137,-0.109228328,-0.847992837,0.509972036,-0.3021064,1.4430629,0.352830827,-0.0555805042,-0.304741979,-0.8923082,0.328373373,-0.327210516,1.46730483,0.332284957,-0.176761031,-0.187021613,-0.835481,0.485541254,-0.349545777,1.4789772,0.328699231,-0.2155186,-0.118715912,-0.8478869,0.4696238,-0.371521831,1.49273813,0.32872808,-0.215518758,-0.118715763,-0.847887,0.469623685,left
-0.2910472,1.52844584,0.318062723,-0.014704884,-0.307055742,-0.7491952,0.5866915,-0.3374013,1.53486669,0.294949681,-0.07032134,-0.177846283,-0.835288763,0.515478849,-0.3658565,1.54788113,0.287737459,-0.124205925,-0.08890899,-0.849371433,0.505209267,-0.39355877,1.56278789,0.286933571,-0.1242072,-0.0889100656,-0.8493713,0.505208969,-0.3044098,1.49946845,0.326979667,0.09491417,-0.3464019,-0.792367339,0.4931033,-0.342757165,1.51413417,0.292549849,-0.0115432423,-0.203825414,-0.8258706,0.5256044,-0.37360546,1.52701211,0.281080484,-0.07485269,-0.102728389,-0.8444251,0.520375252,-0.404170752,1.54195976,0.277813,-0.07485256,-0.10272859,-0.8444251,0.520375252,-0.308517933,1.46975374,0.339959562,0.09684525,-0.33175844,-0.8444107,0.40930143,-0.339896679,1.49201572,0.3079508,-0.0346458443,-0.20406796,-0.8308145,0.5166269,-0.368061185,1.50437486,0.298161715,-0.0927982,-0.10888648,-0.8485518,0.509403765,-0.395863771,1.51874554,0.29532516,-0.09279805,-0.108886749,-0.84855175,0.509403765,-0.3017605,1.44325233,0.3527756,-0.05530332,-0.304329962,-0.8926614,0.32784164,-0.32682687,1.46754277,0.332241058,-0.176143467,-0.1870343,-0.8357545,0.485289842,-0.349152446,1.4792273,0.328634679,-0.214726567,-0.118988417,-0.848121,0.469494641,-0.371126682,1.49299109,0.328629375,-0.214726731,-0.118988268,-0.848121047,0.469494522,left
-0.2910902,1.52860868,0.317975044,-0.014802957,-0.307439983,-0.7490887,0.586623847,-0.337436229,1.53501308,0.2948413,-0.07037154,-0.17812,-0.8353532,0.5152729,-0.365884334,1.54803491,0.287614375,-0.124280162,-0.08909703,-0.8494724,0.5049879,-0.39357987,1.56295359,0.2868005,-0.124281436,-0.0890981,-0.8494723,0.5049876,-0.304457724,1.499637,0.3269028,0.09501179,-0.346589655,-0.792329967,0.493012518,-0.342789859,1.51429832,0.292454183,-0.011920182,-0.20410493,-0.8254414,0.5261612,-0.373660356,1.52712679,0.28098917,-0.0753247738,-0.103007756,-0.844038963,0.520878,-0.404245675,1.54203475,0.277727664,-0.07532465,-0.103007957,-0.844038963,0.520878,-0.308571935,1.469929,0.33989647,0.0972621,-0.3317211,-0.844224155,0.409617633,-0.339956284,1.49216747,0.307876885,-0.0336986631,-0.204182833,-0.8310362,0.5162874,-0.368097752,1.50454628,0.2980464,-0.09173788,-0.109110348,-0.848767757,0.509188,-0.395889759,1.51892769,0.295161247,-0.0917377248,-0.109110616,-0.8487677,0.509188,-0.3018203,1.44343352,0.352727741,-0.05534767,-0.304504067,-0.892626643,0.327767372,-0.326882273,1.46771932,0.332182318,-0.17606777,-0.187398121,-0.835751355,0.485182464,-0.349205732,1.47940218,0.32855767,-0.214568645,-0.119484723,-0.848128438,0.469427526,-0.371181726,1.49316311,0.3285259,-0.214568809,-0.119484574,-0.8481285,0.4694274,left
-0.291400164,1.52855217,0.318026483,-0.0151832039,-0.30747056,-0.748917639,0.58681643,-0.337763041,1.53493106,0.2949194,-0.07152356,-0.1765299,-0.8358553,0.514847159,-0.3662108,1.54801726,0.287808269,-0.126034528,-0.08636152,-0.849916756,0.5042802,-0.393870741,1.563011,0.287188381,-0.12603581,-0.08636259,-0.849916637,0.5042799,-0.304771751,1.49959242,0.326987445,0.09386995,-0.3468538,-0.792407453,0.492921144,-0.343139976,1.51424384,0.292574763,-0.0135714989,-0.2036485,-0.8256387,0.5259885,-0.374031126,1.5270983,0.281194776,-0.0772364959,-0.102055125,-0.8442374,0.5204639,-0.404608041,1.542049,0.278052747,-0.07723637,-0.102055326,-0.8442374,0.5204639,-0.308885068,1.46989393,0.340002358,0.0963763,-0.3319103,-0.8443485,0.4094176,-0.340285182,1.49213624,0.308000922,-0.0351637937,-0.20358175,-0.831185,0.5161878,-0.3684442,1.50453746,0.298249334,-0.09346849,-0.108019128,-0.848908663,0.508871257,-0.3962293,1.518954,0.295474946,-0.09346833,-0.1080194,-0.8489086,0.508871257,-0.302130967,1.44340146,0.3528388,-0.05597498,-0.304437459,-0.8925898,0.327823043,-0.327211142,1.46768761,0.332316,-0.1768258,-0.187052786,-0.83562094,0.485264629,-0.349538982,1.479373,0.328726739,-0.215386763,-0.119049937,-0.8479848,0.469422668,-0.3715115,1.49313951,0.328734845,-0.215386927,-0.119049788,-0.84798485,0.469422549,left
-0.2908544,1.52879429,0.3179384,-0.0149883805,-0.3077532,-0.7486784,0.586978555,-0.337209463,1.53513515,0.294805229,-0.07151472,-0.17663838,-0.835654259,0.5151376,-0.365666538,1.54819965,0.2876916,-0.12613754,-0.08635471,-0.8497423,0.504549742,-0.393335879,1.56317651,0.28707844,-0.126138821,-0.08635578,-0.8497422,0.504549444,-0.304212868,1.49983168,0.3269089,0.09358441,-0.347283453,-0.792160749,0.4930692,-0.342586935,1.51443541,0.2924825,-0.0134821367,-0.204371631,-0.8255851,0.5257942,-0.373464167,1.52728343,0.281057566,-0.07698307,-0.103008524,-0.844243944,0.520302832,-0.40403527,1.54223228,0.2778506,-0.0769829452,-0.103008725,-0.844243944,0.520302832,-0.3083151,1.47013831,0.3399396,0.09672559,-0.331995428,-0.844109535,0.409758866,-0.339721829,1.492347,0.3079213,-0.0350082,-0.203606218,-0.8309427,0.5165787,-0.367891759,1.50472152,0.298167259,-0.09342285,-0.10796316,-0.84868443,0.509265363,-0.395690054,1.51911366,0.295398235,-0.093422696,-0.107963428,-0.8486844,0.509265363,-0.301551878,1.44365835,0.3527966,-0.0557387955,-0.3048002,-0.8924215,0.3279844,-0.326635063,1.467918,0.332246184,-0.176709846,-0.1874912,-0.835419953,0.485483527,-0.348970115,1.47958422,0.3286393,-0.215281546,-0.1195163,-0.847817957,0.4696536,-0.370953262,1.4933337,0.328627944,-0.21528171,-0.119516149,-0.847818,0.4696535,left
-0.291279733,1.52887809,0.317845434,-0.0152175911,-0.307994485,-0.748335242,0.587283731,-0.337645352,1.535166,0.294718981,-0.07238819,-0.176148757,-0.8354287,0.5155488,-0.36612466,1.54821444,0.28766498,-0.127381042,-0.08533476,-0.849521935,0.5047817,-0.393798,1.56318748,0.2871489,-0.127382323,-0.0853358358,-0.8495218,0.5047814,-0.304625332,1.49992359,0.3268615,0.0928510055,-0.347935468,-0.7918741,0.493208677,-0.3430169,1.514464,0.2924278,-0.0145973377,-0.204129979,-0.8258132,0.5255005,-0.3739013,1.52734089,0.281054854,-0.07840926,-0.102164775,-0.844511,0.519822836,-0.4044597,1.54233575,0.277942866,-0.0784091353,-0.102164976,-0.844511,0.519822836,-0.308711946,1.47024608,0.3399329,0.09613808,-0.3324103,-0.84386605,0.410062224,-0.34014985,1.49240232,0.3079088,-0.03607333,-0.203682885,-0.8306265,0.5169836,-0.368345141,1.50474787,0.298191279,-0.09467169,-0.107834436,-0.8484096,0.509519935,-0.396155924,1.51912546,0.295472473,-0.09467153,-0.107834704,-0.848409534,0.509519935,-0.301934063,1.44378424,0.3528196,-0.05635265,-0.3052712,-0.892185867,0.3280825,-0.327035367,1.46801543,0.332257718,-0.177456811,-0.187783748,-0.835215747,0.485449433,-0.3493737,1.4796778,0.3286585,-0.216049492,-0.119777128,-0.847644746,0.469547331,-0.371355653,1.4934293,0.328654259,-0.216049656,-0.119776979,-0.8476448,0.4695472,left
-0.291186363,1.5289408,0.317883164,-0.0154703371,-0.307845742,-0.748421133,0.5872457,-0.337562174,1.535243,0.294781,-0.07279889,-0.175891414,-0.835431457,0.5155746,-0.3660464,1.5482955,0.287754476,-0.1278468,-0.0849866644,-0.84950614,0.5047495,-0.3937172,1.56327438,0.287271619,-0.127848089,-0.08498774,-0.849506,0.5047492,-0.304535061,1.49999034,0.3269077,0.09278835,-0.347733557,-0.791964769,0.493217349,-0.3429365,1.514545,0.292491,-0.0149872284,-0.203676581,-0.825784743,0.52571,-0.373837233,1.52741933,0.2811596,-0.0789435953,-0.101520345,-0.844451368,0.519964933,-0.404402,1.542413,0.278105,-0.07894347,-0.101520546,-0.844451368,0.519964933,-0.308622748,1.47031438,0.33998245,0.09575904,-0.332423866,-0.843926,0.410016447,-0.340071738,1.49247348,0.3079712,-0.036750827,-0.2031187,-0.830820441,0.5168462,-0.368273675,1.504843,0.2983037,-0.09554015,-0.106900245,-0.8485824,0.509266734,-0.396076769,1.51924932,0.29565984,-0.0955399945,-0.106900513,-0.8485823,0.5092668,-0.301845133,1.44385111,0.352866441,-0.056694366,-0.305197984,-0.8922058,0.32803762,-0.326951861,1.46808839,0.332318246,-0.177838042,-0.187531963,-0.835242033,0.485361844,-0.349288464,1.47975981,0.3287381,-0.216462508,-0.119451649,-0.8476608,0.469410777,-0.3712637,1.49352193,0.3287566,-0.216462672,-0.1194515,-0.84766084,0.469410658,left
-0.2903314,1.52904963,0.31801644,-0.0153173693,-0.307221353,-0.748870134,0.587004,-0.336709917,1.53542149,0.2949389,-0.072561115,-0.175288737,-0.835769057,0.5152659,-0.365183264,1.548508,0.2879316,-0.127536774,-0.0844192654,-0.849770248,0.5044784,-0.392841727,1.56351018,0.287465632,-0.127538055,-0.08442034,-0.8497701,0.5044781,-0.303715169,1.500109,0.327020377,0.09259483,-0.3472169,-0.792452633,0.492834,-0.342122167,1.51474249,0.2926434,-0.0155158537,-0.202599078,-0.826204836,0.525450945,-0.373029828,1.527667,0.281388253,-0.0796501,-0.100052856,-0.8447782,0.5196109,-0.403582662,1.54270613,0.2784393,-0.07964997,-0.100053057,-0.8447782,0.5196109,-0.307838142,1.470428,0.340072364,0.09463018,-0.332163423,-0.844538748,0.4092272,-0.339285582,1.49266911,0.308116555,-0.0373298,-0.203170463,-0.831325,0.515972435,-0.3674652,1.50509548,0.298456848,-0.0957807451,-0.107286215,-0.8490402,0.5083769,-0.3952394,1.51955354,0.295791656,-0.09578059,-0.107286483,-0.849040151,0.508376956,-0.3010918,1.44394588,0.352934182,-0.0571410172,-0.3048478,-0.8924839,0.327528715,-0.326178521,1.46822739,0.3324139,-0.178571209,-0.186624408,-0.835399032,0.485172659,-0.3485097,1.47992551,0.328887254,-0.217329085,-0.118261315,-0.847782135,0.469092935,-0.370465875,1.49371779,0.328974843,-0.217329249,-0.118261166,-0.8477822,0.469092816,left
